State,2015_No_of_colonies,2016_No_of_colonies,2017_No_of_colonies,2018_No_of_colonies,All_years_colonies,2015_Lost,2016_Lost,2017_Lost,2018_Lost,All_years_lost,2015_Per_lost,2016_Per_lost,2017_Per_lost,All_2018_Per_lost,All_years_per_lost,2015_Added,2016_Added,2017_Added,2018_Added,All_years_added,2015_Reno,2016_Reno,2017_Reno,2018_Reno,All_years_reno,2015_Per_reno,2016_Per_reno,2017_Per_reno,All_2018_Per_renovated,All_years_Per_reno
Alabama,31000,30500,28000,15000,104500,4670,4440,3930,1630,14670,15.5,14.75,13,10.5,13.4375,4940,3790,3010,2500,14240,1250,840,2270,2210,6570,4.25,2.75,8,14,7.25
Arizona,144000,111000,106000,43500,404500,28100,20900,19200,8600,76800,19,18,17.25,18,18.0625,30200,25300,21700,12810,90010,40600,7450,7300,2330,57680,26.75,6.5,7.5,6,11.6875
Arkansas,72500,111000,89000,33500,306000,14800,12400,18900,9000,55100,16,11.75,19.25,23.5,17.625,15100,17290,13330,14540,60260,5800,2770,2380,2710,13660,10.75,3.666666667,2.25,10.5,6.791666667
California,3960000,3750000,3420000,2290000,13420000,584000,595000,507000,290000,1976000,11.75,12,11.25,10,11.25,499000,523000,460000,376000,1858000,577000,437000,491000,386500,1891500,13,9.75,12,15,12.4375
Colorado,68500,77500,95000,29500,270500,10400,13550,16900,7200,48050,11.25,12,12.75,16,13,11000,14300,12500,10900,48700,5040,1430,17910,4760,29140,5,1,12.75,9.5,7.0625
Connecticut,13800,11400,13600,6500,45300,1210,880,980,260,3330,8.25,7.75,7.25,4,6.8125,1620,1350,2540,560,6070,660,250,590,500,2000,4.75,2,5,8,4.9375
Florida,899000,970000,861000,515000,3245000,150000,135000,154000,83000,522000,14.75,12.75,17,15.5,15,165000,185000,212000,111000,673000,106000,62500,162000,107000,437500,10.75,6.25,17.75,20,13.6875
Georgia,436000,406000,499000,268000,1609000,68500,50500,63000,41000,223000,15,12.25,11.75,15,13.5,95900,78000,69300,63000,306200,45900,9550,77200,55000,187650,10,2,15.25,20,11.8125
Hawaii,51500,55500,55000,29500,191500,3890,2680,1490,1880,9940,7.25,4.75,2.5,6.5,5.25,8400,1930,4910,1500,16740,8220,2190,1280,8200,19890,15,5.333333333,3.333333333,27.5,12.79166667
Idaho,344000,351000,358000,224000,1277000,46200,43000,40000,26800,156000,9.75,9.5,9.25,9,9.375,30100,31400,43000,19500,124000,35500,12020,52780,31600,131900,9.25,3,14.25,16.5,10.75
Illinois,43500,37500,49000,20500,150500,7590,4160,7000,4500,23250,17.25,10.75,14.25,21.5,15.9375,9600,3910,7550,5700,26760,3020,730,3410,3430,10590,7,1.75,6.5,16.5,7.9375
Indiana,43500,27800,39000,15000,125300,6100,2790,5730,2800,17420,13.25,9.25,14.5,16.5,13.375,6930,3200,5440,4300,19870,4840,1450,1420,760,8470,9.5,4.75,3.25,4,5.375
Iowa,89000,127500,107000,86000,409500,11800,15500,14100,5600,47000,11,12.75,12,6,10.4375,8880,36590,25420,15920,86810,4080,3180,11300,4910,23470,4.25,2,8.5,5,4.9375
Kansas,28100,22700,21100,7600,79500,6670,5960,3920,1120,17670,21,24.25,17.5,15,19.4375,3400,4910,4970,2300,15580,670,1190,2290,2510,6660,2.25,4.75,10,32.5,12.375
