State,2015_No_of_colonies,2016_No_of_colonies,2017_No_of_colonies,2018_No_of_colonies,All_years_colonies,2015_Lost,2016_Lost,2017_Lost,2018_Lost,All_years_lost,2015_Per_lost,2016_Per_lost,2017_Per_lost,2018_Per_lost,All_years_lost,2015_Added,2016_Added,2017_Added,2018_Added,All_years_added,2015_Reno,2016_Reno,2017_Reno,2018_Reno,All_years_reno,2015_Per_reno,2016_Per_reno,2017_Per_reno,2018_Per_reno,All_years_Per_reno
Alabama,31000,30500,28000,15000,104500,4670,4440,3930,1630,14670,62,59,52,21,194,4940,3790,3010,2500,14240,1250,840,2270,2210,6570,17,11,32,28,88
Arizona,144000,111000,106000,43500,404500,28100,20900,19200,8600,76800,76,72,69,36,253,30200,25300,21700,12810,90010,40600,7450,7300,2330,57680,107,26,30,12,175
Arkansas,72500,111000,89000,33500,306000,14800,12400,18900,9000,55100,64,47,77,47,235,15100,17290,13330,14540,60260,5800,2770,2380,2710,13660,43,11,9,21,84
California,3960000,3750000,3420000,2290000,13420000,584000,595000,507000,290000,1976000,47,48,45,20,160,499000,523000,460000,376000,1858000,577000,437000,491000,386500,1891500,52,39,48,30,169
Colorado,68500,77500,95000,29500,270500,10400,13550,16900,7200,48050,45,48,51,32,176,11000,14300,12500,10900,48700,5040,1430,17910,4760,29140,20,4,51,19,94
Connecticut,13800,11400,13600,6500,45300,1210,880,980,260,3330,33,31,29,8,101,1620,1350,2540,560,6070,660,250,590,500,2000,19,8,20,16,63
Florida,899000,970000,861000,515000,3245000,150000,135000,154000,83000,522000,59,51,68,31,209,165000,185000,212000,111000,673000,106000,62500,162000,107000,437500,43,25,71,40,179
Georgia,436000,406000,499000,268000,1609000,68500,50500,63000,41000,223000,60,49,47,30,186,95900,78000,69300,63000,306200,45900,9550,77200,55000,187650,40,8,61,40,149
Hawaii,51500,55500,55000,29500,191500,3890,2680,1490,1880,9940,29,19,10,13,71,8400,1930,4910,1500,16740,8220,2190,1280,8200,19890,60,16,10,55,141
Idaho,344000,351000,358000,224000,1277000,46200,43000,40000,26800,156000,39,38,37,18,132,30100,31400,43000,19500,124000,35500,12020,52780,31600,131900,37,12,57,33,139
Illinois,43500,37500,49000,20500,150500,7590,4160,7000,4500,23250,69,43,57,43,212,9600,3910,7550,5700,26760,3020,730,3410,3430,10590,28,7,26,33,94
Indiana,43500,27800,39000,15000,125300,6100,2790,5730,2800,17420,53,37,58,33,181,6930,3200,5440,4300,19870,4840,1450,1420,760,8470,38,19,13,8,78
Iowa,89000,127500,107000,86000,409500,11800,15500,14100,5600,47000,44,51,48,12,155,8880,36590,25420,15920,86810,4080,3180,11300,4910,23470,17,8,34,10,69
Kansas,28100,22700,21100,7600,79500,6670,5960,3920,1120,17670,84,97,70,30,281,3400,4910,4970,2300,15580,670,1190,2290,2510,6660,9,19,40,65,133
Kentucky,33500,27000,30000,10300,100800,7480,3700,4670,2050,17900,77,54,61,37,229,4040,3450,4550,1920,13960,2060,620,1840,580,5100,24,10,24,9,67
Louisiana,200000,205000,222000,98000,725000,16700,24300,21500,4570,67070,31,44,36,9,120,13000,22350,29990,11100,76440,18700,14540,45800,4320,83360,37,28,73,9,147
Maine,18400,14800,15900,4100,53200,4090,5070,2370,1340,12870,26,38,43,19,126,4460,750,1630,470,7310,860,700,1800,910,4270,4,5,11,7,27
Maryland,30000,30000,33500,15000,108500,5880,1840,5190,1870,14780,61,23,56,24,164,4930,4420,5490,2400,17240,1650,460,2200,1390,5700,17,4,24,17,62
Massachusetts,19000,24700,20800,7400,71900,2140,1940,3500,1260,8840,38,31,73,29,171,1520,2750,2430,1150,7850,1060,620,1610,640,3930,13,10,23,13,59
Michigan,230500,274000,275000,52500,832000,37000,40000,41500,14000,132500,50,45,45,33,173,24510,26810,25890,28500,105710,13300,12910,27030,11900,65140,16,12,27,23,78
Minnesota,336000,308000,293000,108000,1045000,58200,58000,42500,10400,169100,49,55,40,12,156,21930,31300,26100,59500,138830,23870,6100,11150,26900,68020,20,4,9,27,60
Mississippi,177000,142500,158000,72000,549500,24500,16900,12700,7000,61100,37,44,35,15,131,28260,58080,29030,31900,147270,17840,86800,34060,12000,150700,22,122,44,29,217
Missouri,51000,44500,32000,15000,142500,4390,3310,2870,1790,12360,33,31,35,24,123,2850,9180,2620,3200,17850,3380,1960,1550,850,7740,26,18,19,12,75
Montana,300500,349500,334500,85000,1069500,26900,35400,35670,4940,102910,23,25,26,3,77,19600,55800,29700,26840,131940,44180,20000,49900,20000,134080,25,13,42,12,92
Nebraska,178000,112500,103000,17000,410500,19700,19520,13450,3130,55800,32,48,35,10,125,16130,9090,8080,3100,36400,16410,55000,40550,700,112660,24,122,92,2,240
New Jersey,41000,40200,43000,10900,135100,3380,3110,2540,1000,10030,26,30,21,13,90,2880,2500,2520,1380,9280,5010,210,1040,360,6620,36,1,6,4,47
