State,"Winter_2015
No_of_colonies","Spring_2015
No_of_colonies","Summer_2015
No_of_colonies","Fall_2015
No_of_colonies",2015_No_of_colonies,"Winter_2015
Lost","Spring_2015
Lost","Summer_2015
Lost","Fall_2015
Lost",2015_Lost,"Winter_2015
Per_lost","Spring_2015
Per_lost","Summer_2015
Per_lost","Fall_2015
Per_lost",2015_Per_lost,"Winter_2015
Added","Spring_2015
Added","Summer_2015
Added","Fall_2015
Added",2015_Added,"Winter_2015
Renovated","Spring_2015
Renovated","Summer_2015
Renovated","Fall_2015
Renovated",2015_Reno,"Winter_2015
Per_renovated","Spring_2015
Per_renovated","Summer_2015
Per_renovated","Fall_2015
Per_renovated",2015_Per_reno
Alabama,7000,7500,8500,8000,31000,1800,860,1400,610,4670,26,12,16,8,15.5,2800,1900,160,80,4940,250,680,260,60,1250,4,9,3,1,4.25
Arizona,35000,33000,40000,36000,144000,4600,5500,6000,12000,28100,13,17,15,31,19,3400,19500,4300,3000,30200,2100,7000,15500,16000,40600,6,21,39,41,26.75
Arkansas,13000,13500,23000,23000,72500,1500,1900,9000,2400,14800,11,14,30,9,16,1200,11500,500,1900,15100,90,5500,210,0,5800,1,41,1,0,10.75
California,1440000,1040000,730000,750000,3960000,255000,104000,76000,149000,584000,15,10,10,12,11.75,250000,170000,40000,39000,499000,124000,285000,93000,75000,577000,7,27,12,6,13
Colorado,3500,12000,29000,24000,68500,1500,1900,4500,2500,10400,12,8,15,10,11.25,200,6000,1400,3400,11000,140,3500,1400,0,5040,1,14,5,0,5
Connecticut,3900,3000,3700,3200,13800,870,80,50,210,1210,22,3,1,7,8.25,290,1100,190,40,1620,0,150,440,70,660,0,5,12,2,4.75
Florida,305000,210000,164000,220000,899000,42000,35000,36000,37000,150000,13,16,16,14,14.75,54000,44000,37000,30000,165000,25000,24000,29000,28000,106000,8,11,13,11,10.75
Georgia,104000,114000,108000,110000,436000,14500,23000,13000,18000,68500,14,19,12,15,15,47000,25000,19500,4400,95900,9500,19000,15500,1900,45900,9,15,14,2,10
Hawaii,10500,13500,14500,13000,51500,380,120,2700,690,3890,4,1,19,5,7.25,3400,1100,1200,2700,8400,760,1200,5500,760,8220,7,9,38,6,15
Idaho,81000,62000,80000,121000,344000,3700,6500,14000,22000,46200,4,9,11,15,9.75,2600,16500,5500,5500,30100,8000,10500,11500,5500,35500,9,15,9,4,9.25
