State,"Winter_2016
No_of_colonies","Spring_2016
No_of_colonies","Summer_2016
No_of_colonies","Fall_2016
No_of_colonies",2016_No_of_colonies,"Winter_2016
Lost","Spring_2016
lost","Summer_2016
Lost","Fall_2016
Lost",2016_Lost,"Winter_2016
Per_lost","Spring_2016
Per_lost","Summer_2016
Per_lost","Fall_2016
Per_lost",2016_Per_lost,"Winter_2016
Added","Spring_2016
Added","Summer_2016
Added","Fall_2016
Added",2016_Added,"Winter_2016
Renovated","Spring_2016
Renovated","Summer_2016
Renovated","Fall_2016
Renovated",2016_Reno,"Winter_2016
Per_renovated","Spring_2016
Per_renovated","Summer_2016
Per_renovated","Fall_2016
Per_renovated",2016_Per_reno
Alabama,7500,8000,8000,7000,30500,1700,930,1200,610,4440,23,12,15,9,14.75,2100,1200,440,50,3790,90,690,50,10,840,1,9,1,0,2.75
Arizona,30000,22000,30000,29000,111000,4700,3700,6000,6500,20900,16,16,19,21,18,3500,14000,3200,4600,25300,150,1600,2600,3100,7450,1,7,8,10,6.5
Arkansas,27000,24000,32000,28000,111000,5000,3400,1500,2500,12400,19,14,5,9,11.75,5000,12000,270,20,17290,1100,1600,60,10,2770,4,7,(Z),0,3.666666667
California,1130000,1110000,740000,770000,3750000,200000,108000,82000,205000,595000,14,9,10,15,12,210000,240000,33000,40000,523000,139000,185000,78000,35000,437000,10,16,10,3,9.75
Colorado,5000,9500,33000,30000,77500,750,1800,6500,4500,13550,9,6,18,15,12,1700,9000,1100,2500,14300,10,680,740,0,1430,0,2,2,0,1
Connecticut,2700,2500,3100,3100,11400,270,100,270,240,880,10,4,9,8,7.75,70,390,890,0,1350,10,60,180,0,250,0,2,6,0,2
Florida,275000,240000,200000,255000,970000,40000,29000,25000,41000,135000,14,12,11,14,12.75,49000,43000,62000,31000,185000,15500,21000,14500,11500,62500,5,9,7,4,6.25
Georgia,100000,108000,102000,96000,406000,15500,11000,13000,11000,50500,16,10,13,10,12.25,36000,17500,12500,12000,78000,3200,3600,2300,450,9550,3,3,2,0,2
Hawaii,15000,13500,13500,13500,55500,280,830,600,970,2680,2,6,4,7,4.75,570,870,430,60,1930,530,-,820,840,2190,4,-,6,6,5.333333333
Idaho,91000,60000,79000,121000,351000,8500,6000,13000,15500,43000,9,8,10,11,9.5,5500,19000,1900,5000,31400,3300,5500,2800,420,12020,3,7,2,0,3
Illinois,8500,9000,11000,9000,37500,1400,740,1300,720,4160,15,8,12,8,10.75,860,2200,850,0,3910,40,380,310,0,730,0,4,3,0,1.75
Indiana,6500,4300,9500,7500,27800,770,220,600,1200,2790,12,3,6,16,9.25,30,2700,450,20,3200,0,900,550,0,1450,0,13,6,0,4.75
Iowa,13000,10500,50000,54000,127500,2900,2400,5500,4700,15500,22,9,11,9,12.75,90,26000,10500,0,36590,0,760,2400,20,3180,0,3,5,0,2
Kansas,5000,4700,8000,5000,22700,1100,960,2600,1300,5960,22,16,33,26,24.25,1400,3000,310,200,4910,100,900,190,0,1190,2,15,2,0,4.75
Kentucky,6500,5500,7500,7500,27000,1300,450,1000,950,3700,20,8,13,13,13.5,390,2100,900,60,3450,40,270,230,80,620,1,5,3,1,2.5
Louisiana,54000,52000,51000,48000,205000,11000,4300,7000,2000,24300,20,8,12,4,11,9500,10000,2600,250,22350,2600,9500,2100,340,14540,5,18,4,1,7
Maine,2200,3600,5500,3500,14800,170,4200,420,280,5070,5,17,8,8,9.5,0,510,240,0,750,0,560,140,0,700,0,2,3,0,1.25
Maryland,7500,8000,7000,7500,30000,820,320,200,500,1840,11,4,3,5,5.75,1200,2800,400,20,4420,10,400,20,30,460,0,4,(Z),0,1.333333333
Massachusetts,3000,4200,9500,8000,24700,370,300,530,740,1940,12,4,6,9,7.75,1200,1100,450,0,2750,140,440,40,0,620,5,5,(Z),0,3.333333333
Michigan,25000,40000,108000,101000,274000,5000,7500,15000,12500,40000,12,7,14,12,11.25,2300,13500,11000,10,26810,80,3200,9500,130,12910,0,3,9,0,3
Minnesota,36000,27000,132000,113000,308000,5500,13000,26000,13500,58000,14,10,19,12,13.75,6000,24000,1300,0,31300,0,4200,1900,0,6100,0,3,1,0,1
Mississippi,21000,85000,19000,17500,142500,7500,3700,3300,2400,16900,15,4,17,8,11,48000,9000,750,330,58080,25000,61000,740,60,86800,50,68,4,0,30.5
Missouri,10000,12000,13500,9000,44500,1300,770,650,590,3310,13,6,5,7,7.75,5500,1800,480,1400,9180,420,730,170,640,1960,4,6,1,7,4.5
Montana,16500,62000,147000,124000,349500,900,7000,11500,16000,35400,1,4,7,13,6.25,24000,25000,4100,2700,55800,0,13500,6500,0,20000,0,9,4,0,3.25
Nebraska,11000,19500,45000,37000,112500,720,6000,8500,4300,19520,4,14,18,12,12,510,8000,390,190,9090,0,28000,27000,0,55000,0,65,57,0,30.5
New Jersey,6000,4200,18000,12000,40200,1000,1500,270,340,3110,17,8,2,3,7.5,80,1900,120,400,2500,20,110,80,0,210,0,1,(Z),0,0.333333333
New Mexico,6000,6500,6500,7000,26000,1700,1400,1100,1600,5800,26,22,17,23,22,1400,2700,2000,1100,7200,30,100,1000,20,1150,1,2,15,0,4.5
New York,31000,31000,56000,48000,166000,4200,4000,10000,9000,27200,13,9,18,18,14.5,970,13500,1900,240,16610,600,1500,800,130,3030,2,3,1,0,1.5
North Carolina,18500,23000,25000,25000,91500,2600,1600,1400,5500,11100,11,7,6,22,11.5,1100,10000,1400,220,12720,230,550,1200,50,2030,1,2,5,0,2
North Dakota,89000,110000,510000,385000,1094000,8500,27000,71000,44000,150500,6,5,13,11,8.75,4600,23000,25000,13500,66100,0,95000,104000,2500,201500,0,18,19,1,9.5
Ohio,16500,14000,21000,19500,71000,2900,1700,1600,2100,8300,18,10,8,11,11.75,760,6000,980,20,7760,50,1100,630,140,1920,0,7,3,1,2.75
Oklahoma,13500,12000,3700,3100,32300,3300,310,560,2700,6870,24,2,15,6,11.75,4800,4000,30,120,8950,570,10000,30,30,10630,4,77,1,0,20.5
Oregon,68000,77000,107000,98000,350000,2900,4300,7500,9500,24200,3,3,7,8,5.25,3800,19000,2900,1500,27200,1300,16000,4300,1000,22600,1,12,4,1,4.5
Pennsylvania,12500,11000,19000,21000,63500,2900,1300,1300,3100,8600,23,9,6,15,13.25,480,6500,680,120,7780,170,1100,780,180,2230,1,8,4,1,3.5
South Carolina,16500,12500,13000,12000,54000,3500,1300,920,1300,7020,21,10,7,8,11.5,3200,2200,990,760,7150,380,410,50,370,1210,2,3,(Z),2,2.333333333
South Dakota,47000,51000,178000,146000,422000,10500,11000,25000,11000,57500,13,6,13,8,10,1600,15000,4200,0,20800,0,13000,9500,2400,24900,0,7,5,2,3.5
Tennessee,9000,8000,10000,9000,36000,1700,580,950,840,4070,19,7,10,9,11.25,180,3900,340,120,4540,70,200,290,10,570,1,3,3,0,1.75
Texas,240000,340000,129000,136000,845000,30000,36000,12000,39000,117000,9,10,8,13,10,126000,74000,12500,2200,214700,49000,54000,810,650,104460,15,15,1,0,7.75
Utah,12000,14500,27000,30000,83500,1900,4800,3200,1600,11500,13,19,10,5,11.75,1400,12000,1200,440,15040,50,7000,120,50,7220,0,28,(Z),0,9.333333333
Vermont,5500,5000,6500,6500,23500,410,20,400,260,1090,7,(Z),6,4,5.666666667,0,480,170,20,670,0,30,50,10,90,0,(Z),1,0,0.333333333
Virginia,6500,6000,8000,7000,27500,1100,230,810,730,2870,17,4,10,10,10.25,560,2200,460,230,3450,70,480,360,10,920,1,7,5,0,3.25
Washington,77000,91000,57000,65000,290000,13500,6000,5000,9000,33500,9,4,7,9,7.25,5500,21000,7500,3100,37100,1200,11500,2000,130,14830,1,8,3,0,3
West Virginia,6500,7000,7500,7500,28500,1700,990,190,1000,3880,21,14,3,13,12.75,0,2600,130,80,2810,0,160,220,60,440,0,2,3,1,1.5
Wisconsin,20000,18500,71000,59000,168500,3100,5500,12000,7500,28100,15,7,16,13,12.75,530,17500,880,10,18920,0,3600,640,20,4260,0,5,1,0,1.5
Wyoming,2700,6500,32000,25000,66200,340,2600,7000,2200,12140,5,10,18,8,10.25,440,7500,1800,50,9790,0,580,1000,0,1580,0,2,3,0,1.25
United States,2612600,2793500,3169300,3025700,11601100,415200,328750,395370,501770,1641090,620,385,498,498,500.25,571820,733650,215630,124640,1645740,245060,560890,281700,60390,1148040,128,495,223,41,221.75
