No,Data,State,Mites,Parasites,Diseases,Pesticides,Other,Unknown
10,d,Alabama,12.3,9.9,0.2,2.4,6.7,3.3
10,d,Arizona,98.8,15.5,2.3,6.5,4.3,3.2
10,d,Arkansas,21.1,4.8,(Z),1.3,1.1,3.3
10,d,California,41.9,13.7,8,9.1,9.6,3.5
10,d,Colorado,32.4,1.3,0.1,3.1,13,0.1
10,d,Connecticut,14.7,6.6,1.1,1,5.8,3.2
10,d,Florida,30.9,27.1,7.7,17,13.6,6.5
10,d,Georgia,43.6,8.6,3.7,7.6,4.1,2.5
10,d,Hawaii,39.9,40.8,-,0.1,0.2,0.1
10,d,Idaho,31.9,0.8,4.8,0.2,4.2,3
10,d,Illinois,27.8,11.7,1.2,5.6,3.9,4.8
10,d,Indiana,28.2,9.6,0.2,1.4,1,3.8
10,d,Iowa,18.7,9.8,8.9,9,11.4,6.3
10,d,Kansas,29.2,8.3,0.3,3.1,5.1,1.4
10,d,Kentucky,48.2,22.3,3.3,3,10.3,5.7
10,d,Louisiana,2.9,1,1,0.1,0.7,1.2
10,d,Maine,10.7,0.8,0.1,-,5.8,0.1
10,d,Maryland,23.8,8.3,4.5,4.6,5.8,0.6
10,d,Massachusetts,6.1,2.6,0.4,0.4,0.7,4.2
10,d,Michigan,23.9,1.5,0.1,2.7,4,0.6
10,d,Minnesota,27.5,7.7,3.1,17.6,5,8.9
10,d,Mississippi,21.9,6,0.1,-,2.1,2.8
10,d,Missouri,16.1,12.6,0.2,(Z),1.5,0.7
10,d,Montana,59.1,39.4,32.9,13.7,33.3,33.1
10,d,Nebraska,10.5,1.4,0.2,1.2,0.4,1.5
10,d,New Jersey,28.6,11.3,0.4,1.9,3.4,8.6
10,d,New Mexico,46.2,0.3,7.2,-,0.8,0.3
10,d,New York,27.8,2.2,3.6,12.5,2.2,2.1
10,d,North Carolina,24,7.7,1.8,-,12.5,1.3
10,d,North Dakota,23.5,7.9,1.5,0.4,2.6,2.2
10,d,Ohio,42,18.1,0.8,4.2,11.2,10.9
10,d,Oklahoma,4.9,0.5,(Z),0.1,0.1,0.7
10,d,Oregon,25.5,2.8,13,2.8,2.6,1.3
10,d,Pennsylvania,18.7,2.6,1,2.8,4.9,3.1
10,d,South Carolina,29,27.1,23.3,24.6,25.9,1.9
10,d,South Dakota,48.9,5.3,0.3,6,1,0.3
10,d,Tennessee,19.9,21.6,-,1.1,2.2,3.1
10,d,Texas,33.1,17.5,3.2,3.6,2.8,1.4
10,d,Utah,26.4,0.1,0.2,0.9,0.7,0.3
10,d,Vermont,44.5,41.3,41.2,41,0.4,-
10,d,Virginia,31.4,19.9,2,-,1.8,5.1
10,d,Washington,21.4,4.6,3.7,9.1,4.5,0.3
10,d,West Virginia,23.8,2.3,1.1,1.1,4.3,2.8
10,d,Wisconsin,69.3,12.2,10,10.6,10.6,46.2
10,d,Wyoming,32.2,1.6,3.1,5.2,1.1,-
