State,2015_Mites,2016_mites,2017_Mites,2018_Mites,Mites_average,2015_Parasites,2016_Parasites,2017_Parasites,2018_parasites,Parasites_average,2015_Diseases,2016_Diseases,2017_Diseases,2018_Diseases,Diseases_average,2015_Pesticides,2016_Pesticides,2017_Pesticides,2018_Pesticides,Pesticides_average,2015_Other,2016_other,2017_Other,2018_Other,Other_average,2015_Unknown,2016_Unknown,2017_Unknown,2018_Unknown,Unknown_average
Alabama,23.225,14.45,32.4,26.4,24.11875,31.225,20.525,13.9,27.85,23.375,0.05,1.2,2.25,1.55,1.2625,1.825,4,13.075,14,8.225,4.325,4.275,6.325,10.05,6.24375,8.275,8.45,5.925,3.3,6.4875
Arizona,34.725,50.275,43.85,42.55,42.85,19.775,16.7,5.625,5.8,11.975,1.775,5.1,6.575,18.9,8.0875,10.225,9.925,4.2,8.05,8.1,9.525,10.4,10.85,11.2,10.49375,6,5.7,2.3,3.95,4.4875
Arkansas,47.7,61.025,37.45,28.3,43.61875,29.225,7.3,15.625,12.8,16.2375,2.375,1.475,7.15,0.95,2.9875,9.8,2.45,13.1,12.9,9.5625,9.675,2.275,9.775,8,7.43125,3.075,3.325,1.55,15.25,5.8
California,38.2,42.975,41.475,41.65,41.075,15.45,15.2,12.55,10.75,13.4875,7.375,9.175,5.9,8,7.6125,15.45,13.9,13.15,12.65,13.7875,11.55,10.925,9.65,8.55,10.16875,4.475,4.35,4.9,5,4.68125
Colorado,37.825,30.825,32.85,37.25,34.6875,7.15,7.15,0.725,0.4,3.85625,7.575,5.175,2.025,8.45,5.80625,9.9,7.325,8.3,2.1,6.90625,4.525,7.225,7.625,9,7.09375,4.25,0.175,1.8,1.4,1.90625
Connecticut,15.625,13.775,30.525,12.8,18.18125,1.175,2.4,1.5,0.8,1.46875,0.7,0.45,0.025,0.2,0.34375,0.85,0.375,0.275,0.8,0.575,8.35,5.725,5.65,4.25,5.99375,1.275,1.725,1.975,1.95,1.73125
Florida,33.325,36.95,39.6,38.35,37.05625,20,19.9,14.8,21.45,19.0375,3.175,5.2,4.7,7.1,5.04375,14.075,10.85,9.975,12.4,11.825,10.9,8.5,7.925,7.8,8.78125,4.35,2.925,21.125,18.55,11.7375
Georgia,37.525,41.475,43.45,46.3,42.1875,13.125,15.3,11.475,22.15,15.5125,3.775,2.55,3.95,7.4,4.41875,14.25,17.375,9.65,14.8,14.01875,7.225,6.65,7.4,29.35,12.65625,4.875,3.4,4.025,5.85,4.5375
Hawaii,52,35.9,37.525,67.15,48.14375,53.275,38.925,19.05,70.4,45.4125,0.55,0.025,0.15,0.35,0.26875,0.05,0.4,0,0,0.1125,1.925,1.05,0.65,0.15,0.94375,0.025,0.025,0.025,0.15,0.05625
Idaho,37.75,27.475,48.1,39.55,38.21875,4.8,3.15,21.175,4.85,8.49375,6.25,3.525,17.675,2,7.3625,6.2,4.2,14.975,10.7,9.01875,6.9,5.25,5.175,3.7,5.25625,4.025,2.6,2.625,2.25,2.875
