State,"Winter_2016
Mites","Spring_2016
Mites","Summer_2016
Mites","Fall_2016
Mites",2016_mites,"Winter_2016
Parasites","Spring_2016
Parasites","Summer_2016
Parasites","Fall_2016
Parasites",2016_Parasites,"Winter_2016
Diseases","Spring_2016
Diseases","Summer_2016
Diseases","Fall_2016
Diseases",2016_Diseases,"Winter_2016
Pesticides","Spring_2016
Pesticides","Summer_2016
Pesticides","Fall_2016
Pesticides",2016_Pesticides,"Winter_2016
Other","Spring_2016
Other","Summer_2016
Other","Fall_2016
Other",2016_other,"Winter_2016
Unknown","Spring_2016
Unknown","Summer_2016
Unknown","Fall_2016
Unknown",2016_Unknown
Alabama,24.2,9.6,11.7,12.3,14.45,22,8.2,42,9.9,20.525,4.3,0.3,0,0.2,1.2,8.1,1.7,3.8,2.4,4,2.4,4.8,3.2,6.7,4.275,11.3,5.4,13.8,3.3,8.45
Arizona,33.8,26.8,41.7,98.8,50.275,2.8,47.5,1,15.5,16.7,0,17.2,0.9,2.3,5.1,7.7,12,13.5,6.5,9.925,6.5,17.4,13.4,4.3,10.4,7.2,3.5,8.9,3.2,5.7
Arkansas,57.4,84.9,80.7,21.1,61.025,6.9,8.5,9,4.8,7.3,0,5.5,0.4,0,1.475,0.5,0.1,7.9,1.3,2.45,1.9,3.4,2.7,1.1,2.275,8.1,1.6,0.3,3.3,3.325
California,38.1,49.7,42.2,41.9,42.975,15.2,14.1,17.8,13.7,15.2,9,11.2,8.5,8,9.175,13.5,14.2,18.8,9.1,13.9,8.4,15.3,10.4,9.6,10.925,4.4,2.6,6.9,3.5,4.35
Colorado,2.9,38.7,49.3,32.4,30.825,4.1,0.8,22.4,1.3,7.15,0.5,3.3,16.8,0.1,5.175,0.2,1.4,24.6,3.1,7.325,2.7,2.6,10.6,13,7.225,0.2,0.3,0.1,0.1,0.175
Connecticut,12.3,9.3,18.8,14.7,13.775,0.8,0.6,1.6,6.6,2.4,0.2,0.5,0,1.1,0.45,0,0.3,0.2,1,0.375,7.7,4.4,5,5.8,5.725,1.7,1.2,0.8,3.2,1.725
Florida,23.6,48.2,45.1,30.9,36.95,5.8,23.3,23.4,27.1,19.9,0.4,10,2.7,7.7,5.2,4.9,11.6,9.9,17,10.85,1.8,10.1,8.5,13.6,8.5,1.4,2,1.8,6.5,2.925
Georgia,32.3,59.3,30.7,43.6,41.475,7.8,28.4,16.4,8.6,15.3,2.1,2,2.4,3.7,2.55,21.4,28.4,12.1,7.6,17.375,3.2,11.7,7.6,4.1,6.65,3.9,2.7,4.5,2.5,3.4
Hawaii,0.3,35.6,67.8,39.9,35.9,1.5,38.1,75.3,40.8,38.925,0,0,0.1,0,0.025,0.1,0.6,0.8,0.1,0.4,0.8,3.2,0,0.2,1.05,0,0,0,0.1,0.025
Idaho,31.5,21.2,25.3,31.9,27.475,2.3,4.8,4.7,0.8,3.15,2.1,2.7,4.5,4.8,3.525,5.9,3.1,7.6,0.2,4.2,5.4,5.4,6,4.2,5.25,1.4,2.7,3.3,3,2.6
