State,"Winter_2017
Mites","Spring_2017
Mites","Summer_2017
Mites","Fall_2017
Mites",2017_Mites,"Winter_2017
Parasites","Spring_2017
Parasites","Summer_2017
Parasites","Fall_2017
Parasites",2017_Parasites,"Winter_2017
Diseases","Spring_2017
Diseases","Summer_2017
Diseases","Fall_2017
Diseases",2017_Diseases,"Winter_2017
Pesticides","Spring_2017
Pesticides","Summer_2017
Pesticides","Fall_2017
Pesticides",2017_Pesticides,"Winter_2017
Other","Spring_2017
Other","Summer_2017
Other","Fall_2017
Other",2017_Other,"Winter_2017
Unknown","Spring_2017
Unknown","Summer_2017
Unknown","Fall_2017
Unknown",2017_Unknown
Alabama,19.9,17.9,69.5,22.3,32.4,9.8,13.6,22.1,10.1,13.9,0.2,0,0,8.8,2.25,3.2,4.2,35.4,9.5,13.075,6.7,9.4,7.5,1.7,6.325,9.3,5.3,3.9,5.2,5.925
Arizona,35.6,58.4,19.8,61.6,43.85,2,15.9,0.4,4.2,5.625,3.8,19.7,0.5,2.3,6.575,1.7,12.4,1.1,1.6,4.2,6.5,20.4,12.4,4.1,10.85,2.1,0.7,6.3,0.1,2.3
Arkansas,31.5,19.4,61.4,37.5,37.45,14.6,9.6,9.1,29.2,15.625,0.1,1.9,0,26.6,7.15,0.5,3.9,17,31,13.1,3,2.7,9.3,24.1,9.775,1,2.5,2.3,0.4,1.55
California,37.7,38,42.3,47.9,41.475,12.6,7.7,15.8,14.1,12.55,7.5,3.1,5.6,7.4,5.9,9.2,13,13.4,17,13.15,6.6,4.8,10.1,17.1,9.65,6.3,3.4,3.6,6.3,4.9
Colorado,17,31.3,52.9,30.2,32.85,0,0.8,1.4,0.7,0.725,0,5.3,2.6,0.2,2.025,0.9,3.2,9.1,20,8.3,2.6,4.6,7.8,15.5,7.625,0.4,0.1,1.4,5.3,1.8
Connecticut,51.5,9.1,25.1,36.4,30.525,1.5,0.2,1.5,2.8,1.5,0,0,0.1,0,0.025,0,0.5,0,0.6,0.275,6.1,1.9,13,1.6,5.65,5.6,0.7,0,1.6,1.975
Florida,37.6,36.5,42.9,41.4,39.6,14.8,14.4,13.2,16.8,14.8,1.5,6.1,3.7,7.5,4.7,14.2,9,6.3,10.4,9.975,6.2,6.5,11.4,7.6,7.925,17.9,18.9,21.5,26.2,21.125
Georgia,35.3,34.1,47.6,56.8,43.45,7,5.8,18,15.1,11.475,0.2,1,2.3,12.3,3.95,2.6,6.6,14.1,15.3,9.65,4.4,6.5,15.1,3.6,7.4,1.8,2.8,6.9,4.6,4.025
Hawaii,1.2,88.9,2.8,57.2,37.525,2.1,3.7,4.3,66.1,19.05,0.2,0,0.3,0.1,0.15,0,0,0,0,0,0.1,0.4,2,0.1,0.65,0.1,0,0,0,0.025
Idaho,74.2,30.5,53.7,34,48.1,42.3,6.4,19.1,16.9,21.175,42.3,4,6.7,17.7,17.675,21.2,8.3,15.5,14.9,14.975,1.7,7.8,9.5,1.7,5.175,0.4,4.8,5.1,0.2,2.625
Illinois,21.2,11.3,29.9,28.9,22.825,13.1,4.3,14.2,10.2,10.45,0.5,0.7,2.8,0.8,1.2,3.7,3,2.8,7.9,4.35,9.9,5.6,4.6,4.9,6.25,8,1.5,3.3,4.9,4.425
