State,"Winter_2018
Mites","Spring_2018
Mites",2018_Mites,"Winter_2018
Parasites","Spring_2018
Parasites",2018_parasites,"Winter_2018
Diseases","Spring_2018
Diseases",2018_Diseases,"Winter_2018
Pesticides","Spring_2018
Pesticides",2018_Pesticides,"Winter_2018
Other","Spring_2018
Other",2018_Other,"Winter_2018
Unknown","Spring_2018
Unknown",2018_Unknown
Alabama,29.2,23.6,26.4,30.2,25.5,27.85,1.9,1.2,1.55,14.9,13.1,14,8.6,11.5,10.05,4.5,2.1,3.3
Arizona,36.3,48.8,42.55,4.3,7.3,5.8,4.6,33.2,18.9,15.3,0.8,8.05,7.9,14.5,11.2,4.2,3.7,3.95
Arkansas,21.1,35.5,28.3,9.6,16,12.8,1,0.9,0.95,23,2.8,12.9,4.6,11.4,8,13.9,16.6,15.25
California,41.4,41.9,41.65,11.3,10.2,10.75,4.8,11.2,8,11.5,13.8,12.65,8,9.1,8.55,4.9,5.1,5
Colorado,31.7,42.8,37.25,0.8,0,0.4,3.8,13.1,8.45,0.5,3.7,2.1,13.7,4.3,9,2.4,0.4,1.4
Connecticut,14.5,11.1,12.8,0.7,0.9,0.8,0,0.4,0.2,0.8,0.8,0.8,7.7,0.8,4.25,3.5,0.4,1.95
Florida,31.7,45,38.35,15.3,27.6,21.45,4.5,9.7,7.1,9.2,15.6,12.4,5.5,10.1,7.8,16,21.1,18.55
Georgia,39.6,53,46.3,18.7,25.6,22.15,0.9,13.9,7.4,14.8,14.8,14.8,27.1,31.6,29.35,2.1,9.6,5.85
Hawaii,74.5,59.8,67.15,76.8,64,70.4,0.2,0.5,0.35,0,0,0,0.1,0.2,0.15,0.1,0.2,0.15
Idaho,28.3,50.8,39.55,5.7,4,4.85,0.8,3.2,2,3.4,18,10.7,3.4,4,3.7,0.4,4.1,2.25
Illinois,25.7,13.8,19.75,11.2,7.9,9.55,3.6,6.7,5.15,3.5,6.6,5.05,10.4,9.9,10.15,10.9,2.4,6.65
Indiana,33.4,78.9,56.15,8.3,3.5,5.9,3,0.4,1.7,0.5,4.5,2.5,9.9,1.3,5.6,3.7,1.1,2.4
Iowa,5.3,12.7,9,1.1,9.3,5.2,0.3,0.9,0.6,0.6,7.9,4.25,0.6,8.4,4.5,1.4,0.3,0.85
Kansas,63,42.8,52.9,20.3,31.6,25.95,1,1.3,1.15,4.3,24.9,14.6,27.9,2.1,15,9.1,1.6,5.35
Kentucky,43,35.4,39.2,29.6,21.8,25.7,0.9,0.6,0.75,11,1.1,6.05,8,3.7,5.85,5.9,6.3,6.1
Louisiana,4.9,8.1,6.5,0.7,5.9,3.3,0.2,0.2,0.2,0.7,0.8,0.75,4.5,1.2,2.85,1.6,1.3,1.45
Maine,23.6,1.9,12.75,0.6,1.1,0.85,0.2,0.2,0.2,0,1.8,0.9,5.2,0.6,2.9,7.4,0.1,3.75
Maryland,18.2,11.8,15,5.6,3.4,4.5,4.4,0.8,2.6,1.5,0.3,0.9,14.3,4.4,9.35,3.1,0.4,1.75
Massachusetts,19.1,6.3,12.7,1,1.1,1.05,0.8,1,0.9,0.8,1.5,1.15,9.3,2,5.65,7.2,2.1,4.65
Michigan,21.4,65.7,43.55,3.5,16.7,10.1,0.7,11,5.85,7.4,11.6,9.5,12,12.9,12.45,5.9,10,7.95
Minnesota,2,12.2,7.1,0.7,8.5,4.6,1.9,6.7,4.3,0.6,5.6,3.1,1.1,7.8,4.45,1.6,21.7,11.65
Mississippi,7,44.4,25.7,4.8,24.1,14.45,0,0,0,0.6,0.2,0.4,2.4,5.1,3.75,34.4,2.1,18.25
Missouri,86,11.8,48.9,77.8,13.2,45.5,0.3,0.8,0.55,3.5,1.5,2.5,26.5,8.3,17.4,23.9,2.6,13.25
Montana,28.9,41.3,35.1,0,4.3,2.15,0,2.8,1.4,26.1,1.3,13.7,0.1,1,0.55,0.1,0.8,0.45
Nebraska,4.5,3.9,4.2,1.6,0.4,1,0,0.4,0.2,2.8,3.2,3,1.7,7.5,4.6,0.9,4,2.45
New Jersey,14.9,16.5,15.7,1.9,3.3,2.6,0,0,0,0.4,0.1,0.25,3.8,3.4,3.6,0.8,0.1,0.45
New Mexico,42.8,0.3,21.55,0.5,0.1,0.3,0,0.3,0.15,1.3,0,0.65,9.4,0.2,4.8,0.5,1,0.75
New York,25.3,40.8,33.05,11.9,20.3,16.1,1.4,15.4,8.4,1.9,6,3.95,8,17.3,12.65,6,3.6,4.8
North Carolina,29.7,9.7,19.7,10.2,2.6,6.4,0.3,0.5,0.4,0.3,2.4,1.35,13.4,14.6,14,8,0.8,4.4
North Dakota,1.4,24.7,13.05,0.1,7.5,3.8,1.2,4.8,3,0,4.7,2.35,0.9,3.9,2.4,0,4.3,2.15
Ohio,39.6,38.8,39.2,10,30.8,20.4,6.5,1.7,4.1,3.2,2.7,2.95,15.8,21.7,18.75,11.6,1.6,6.6
Oklahoma,24.1,60.2,42.15,8.5,10.9,9.7,3.2,9.6,6.4,0.1,26.7,13.4,3.1,12.4,7.75,2,0.1,1.05
Oregon,36,45.9,40.95,0.7,3.5,2.1,1.2,8.1,4.65,6.7,6.6,6.65,3.7,15.5,9.6,1,0.2,0.6
Pennsylvania,34.4,31.3,32.85,5.6,16.2,10.9,3.3,2.2,2.75,9.3,2.1,5.7,5.9,1.6,3.75,9.9,1.9,5.9
South Carolina,29.3,14.3,21.8,15.5,3.4,9.45,0.7,0.7,0.7,2.6,1.6,2.1,13.5,9.8,11.65,3,2.9,2.95
South Dakota,4.4,53.3,28.85,0.1,42.2,21.15,0,7.7,3.85,0,4,2,0.5,39.4,19.95,0.1,0,0.05
Tennessee,29.2,30,29.6,20.4,22.9,21.65,2.3,3,2.65,3,3.4,3.2,13.2,6.2,9.7,19.7,2.5,11.1
Texas,21.5,26,23.75,10.1,17.4,13.75,4.8,7.9,6.35,0.2,4.4,2.3,1.7,8.3,5,10.3,14.3,12.3
Utah,18.7,43.5,31.1,0,3.7,1.85,0.1,2,1.05,0,1.7,0.85,0.1,1.4,0.75,0.5,1.9,1.2
Vermont,17,21.8,19.4,1.2,1.5,1.35,0.3,0.7,0.5,0.6,16.7,8.65,2,1.8,1.9,0.8,0.1,0.45
Virginia,26,23,24.5,11.3,19,15.15,0.3,3.2,1.75,3.9,1.2,2.55,7.7,23.3,15.5,16.3,1.5,8.9
Washington,8.5,55.9,32.2,0.9,9.4,5.15,1,7.6,4.3,1.9,7.6,4.75,0.4,7.1,3.75,0.4,0.6,0.5
West Virginia,15,13.8,14.4,8,7.5,7.75,2,0.9,1.45,3.4,2.9,3.15,20.8,13.6,17.2,4.9,7.9,6.4
Wisconsin,14.1,32.8,23.45,3.7,16.2,9.95,1.2,17.8,9.5,1.5,26.6,14.05,3.6,29.1,16.35,3.7,0.9,2.3
Wyoming,0.9,11,5.95,0.4,0.1,0.25,0.1,2.4,1.25,0,2.3,1.15,2.1,2.9,2.5,1,4.2,2.6
