No,Data,State,Mites,Parasites,Diseases,Pesticides,Other,Unknown
12,d,Alabama,29.2,30.2,1.9,14.9,8.6,4.5
12,d,Arizona,36.3,4.3,4.6,15.3,7.9,4.2
12,d,Arkansas,21.1,9.6,1,23,4.6,13.9
12,d,California,41.4,11.3,4.8,11.5,8,4.9
12,d,Colorado,31.7,0.8,3.8,0.5,13.7,2.4
12,d,Connecticut,14.5,0.7,-,0.8,7.7,3.5
12,d,Florida,31.7,15.3,4.5,9.2,5.5,16
12,d,Georgia,39.6,18.7,0.9,14.8,27.1,2.1
12,d,Hawaii,74.5,76.8,0.2,-,0.1,0.1
12,d,Idaho,28.3,5.7,0.8,3.4,3.4,0.4
12,d,Illinois,25.7,11.2,3.6,3.5,10.4,10.9
12,d,Indiana,33.4,8.3,3,0.5,9.9,3.7
12,d,Iowa,5.3,1.1,0.3,0.6,0.6,1.4
12,d,Kansas,63,20.3,1,4.3,27.9,9.1
12,d,Kentucky,43,29.6,0.9,11,8,5.9
12,d,Louisiana,4.9,0.7,0.2,0.7,4.5,1.6
12,d,Maine,23.6,0.6,0.2,-,5.2,7.4
12,d,Maryland,18.2,5.6,4.4,1.5,14.3,3.1
12,d,Massachusetts,19.1,1,0.8,0.8,9.3,7.2
12,d,Michigan,21.4,3.5,0.7,7.4,12,5.9
12,d,Minnesota,2,0.7,1.9,0.6,1.1,1.6
12,d,Mississippi,7,4.8,(Z),0.6,2.4,34.4
12,d,Missouri,86,77.8,0.3,3.5,26.5,23.9
12,d,Montana,28.9,(Z),(Z),26.1,0.1,0.1
12,d,Nebraska,4.5,1.6,-,2.8,1.7,0.9
12,d,New Jersey,14.9,1.9,-,0.4,3.8,0.8
12,d,New Mexico,42.8,0.5,-,1.3,9.4,0.5
12,d,New York,25.3,11.9,1.4,1.9,8,6
12,d,North Carolina,29.7,10.2,0.3,0.3,13.4,8
12,d,North Dakota,1.4,0.1,1.2,-,0.9,-
12,d,Ohio,39.6,10,6.5,3.2,15.8,11.6
12,d,Oklahoma,24.1,8.5,3.2,0.1,3.1,2
12,d,Oregon,36,0.7,1.2,6.7,3.7,1
12,d,Pennsylvania,34.4,5.6,3.3,9.3,5.9,9.9
12,d,South Carolina,29.3,15.5,0.7,2.6,13.5,3
12,d,South Dakota,4.4,0.1,(Z),(Z),0.5,0.1
12,d,Tennessee,29.2,20.4,2.3,3,13.2,19.7
12,d,Texas,21.5,10.1,4.8,0.2,1.7,10.3
12,d,Utah,18.7,-,0.1,-,0.1,0.5
12,d,Vermont,17,1.2,0.3,0.6,2,0.8
12,d,Virginia,26,11.3,0.3,3.9,7.7,16.3
12,d,Washington,8.5,0.9,1,1.9,0.4,0.4
12,d,West Virginia,15,8,2,3.4,20.8,4.9
12,d,Wisconsin,14.1,3.7,1.2,1.5,3.6,3.7
12,d,Wyoming,0.9,0.4,0.1,-,2.1,1
