13,h,State,Varroa mites,Other pests and parasites ,Diseases ,Pesticides,Other,Unknown
9,d,Alabama,63.1,70.6,(Z),2.6,2.2,17.7
9,d,Arizona,53.5,24.8,5.4,17.3,7.6,5.1
9,d,Arkansas,69.2,32.4,0.9,5,1.8,1.4
9,d,California,39.9,20.4,12.5,19.6,15,4.7
9,d,Colorado,50.5,1.5,2.7,16.5,3.7,2.7
9,d,Connecticut,39.3,1.2,0.4,1.5,7.8,(Z)
9,d,Florida,39.5,21.7,6.7,22.9,21.9,3.4
9,d,Georgia,47.6,16.2,3.6,21.2,8.9,3.6
9,d,Hawaii,78.1,80.5,0.1,0.1,2.5,(Z)
9,d,Idaho,46.8,5.2,1.7,10,2.2,6.4
9,d,Illinois,7.7,3,0.6,0.4,3.4,1
9,d,Indiana,13.7,10.3,4.8,8.2,1,6.2
9,d,Iowa,17.4,5.8,0.1,4.7,5.6,3.4
9,d,Kansas,22.5,16.2,0.2,14.1,14.8,1.7
9,d,Kentucky,40.4,11.3,1.2,6.5,9,2
9,d,Louisiana,25.9,2.3,(Z),1.6,3,0.2
9,d,Maine,9.9,3.4,13.2,(Z),2.6,7.8
9,d,Maryland,26.9,19.1,2.9,22.8,7.1,2
9,d,Massachusetts,16.3,2.9,0.4,2.1,2.5,0.3
9,d,Michigan,44.6,16.3,7.3,13.7,1.8,8.8
9,d,Minnesota,33.3,14.6,7.4,27.4,7,7.2
9,d,Mississippi,45.5,2.2,(Z),1.1,3.8,1.4
9,d,Missouri,11.1,11.7,3,2,2.1,1.4
9,d,Montana,52.5,16.4,10.7,2.3,6.4,5.3
9,d,Nebraska,33.2,10.3,10.9,13.2,4.6,4.3
9,d,New Jersey,7.2,1,0.1,(Z),1.1,0.7
9,d,New Mexico,61.2,55,55,58,55.5,0.7
9,d,New York,40,14.3,5.7,17.1,8.8,1.5
9,d,North Carolina,33.9,27.9,0.7,7.5,5.7,8.5
9,d,North Dakota,33.8,15.5,8.1,12.3,4.1,3.7
9,d,Ohio,30.7,8,0.6,23.4,1.6,1.7
9,d,Oklahoma,1.6,2.3,0.1,0.1,0.6,0.4
9,d,Oregon,56,20.8,5.2,3.1,4.8,3.8
9,d,Pennsylvania,45.1,11.3,3.7,5.1,7.2,0.8
9,d,South Carolina,58.4,31,18.3,14.7,3.9,3
9,d,South Dakota,22,7.3,2,7.1,1.9,5.7
9,d,Tennessee,50.8,38.4,0.5,4.8,2.2,1
9,d,Texas,30.7,26,1.3,19.4,4.7,5.2
9,d,Utah,40.1,25,41.6,33.6,3.6,0.1
9,d,Vermont,22.7,0.5,(Z),(Z),0.4,(Z)
9,d,Virginia,29,14.2,1.3,3.7,3.5,8.9
9,d,Washington,45.6,3.7,2.3,1.4,3.8,0.3
9,d,West Virginia,21.7,5.3,1,1.5,3,1.1
9,d,Wisconsin,47.3,20.1,8.3,20.9,12.6,13.5
9,d,Wyoming,28.5,11,6.4,3.4,2,0.4
9,d,Other States 4/,8.8,0.2,(Z),0.4,0.7,0.2
9,d,United States,41.2,17.6,8,15.2,8.8,4.8
