,State,"Winter_2015
Lost","Spring_2015
Lost","Summer_2015
Lost","Fall_2015
Lost",Total
0,Alabama,1800,860,1400,610,4670
1,Arizona,4600,5500,6000,12000,28100
2,Arkansas,1500,1900,9000,2400,14800
3,California,255000,104000,76000,149000,584000
4,Colorado,1500,1900,4500,2500,10400
5,Connecticut,870,80,50,210,1210
6,Florida,42000,35000,36000,37000,150000
7,Georgia,14500,23000,13000,18000,68500
8,Hawaii,380,120,2700,690,3890
9,Idaho,3700,6500,14000,22000,46200
10,Illinois,4200,1300,1400,690,7590
11,Indiana,2100,1300,1600,1100,6100
12,Iowa,3100,1400,3000,4300,11800
13,Kansas,1600,670,1000,3400,6670
14,Kentucky,4100,980,1300,1100,7480
15,Louisiana,8000,1800,2000,4900,16700
16,Maine,380,3200,450,60,4090
17,Maryland,4100,370,680,730,5880
18,Massachusetts,1000,320,560,260,2140
19,Michigan,11500,9500,7000,9000,37000
20,Minnesota,3700,12500,32000,10000,58200
21,Mississippi,8500,11000,3500,1500,24500
22,Missouri,2000,500,1200,690,4390
23,Montana,2200,4200,10500,10000,26900
24,Nebraska,2600,4100,6000,7000,19700
25,New Jersey,1100,1800,210,270,3380
26,New Mexico,690,1000,1600,290,3580
27,New York,6500,1100,6500,4000,18100
28,North Carolina,7000,1800,2900,2200,13900
29,North Dakota,620,29000,93000,35000,157620
30,Ohio,10500,2100,1900,2400,16900
31,Oklahoma,6000,2200,230,650,9080
32,Oregon,6500,5500,8500,8500,29000
33,Pennsylvania,6500,1600,1800,2500,12400
34,South Carolina,2700,950,2000,2200,7850
35,South Dakota,4600,21000,53000,9000,87600
36,Tennessee,2000,730,1200,1100,5030
37,Texas,26000,33000,16500,25000,100500
38,Utah,3300,3400,8000,1900,16600
39,Vermont,700,100,40,940,1780
40,Virginia,2500,270,680,750,4200
41,Washington,14000,5000,11500,6500,37000
42,West Virginia,1800,570,300,610,3280
43,Wisconsin,8000,4600,9000,6500,28100
44,Wyoming,2000,3200,2500,1300,9000
45,Other States 5/,2080,1940,900,1630,6550
46,United States,500020,352860,457100,412380,1722360
