State,Winter_2016,Spring_2016,Summer_2016,Fall_2016,Total
Alabama,1700,930,1200,610,4440
Arizona,4700,3700,6000,6500,20900
Arkansas,5000,3400,1500,2500,12400
California,200000,108000,82000,205000,595000
Colorado,750,1800,6500,4500,13550
Connecticut,270,100,270,240,880
Florida,40000,29000,25000,41000,135000
Georgia,15500,11000,13000,11000,50500
Hawaii,280,830,600,970,2680
Idaho,8500,6000,13000,15500,43000
Illinois,1400,740,1300,720,4160
Indiana,770,220,600,1200,2790
Iowa,2900,2400,5500,4700,15500
Kansas,1100,960,2600,1300,5960
Kentucky,1300,450,1000,950,3700
Louisiana,11000,4300,7000,2000,24300
Maine,170,4200,420,280,5070
Maryland,820,320,200,500,1840
Massachusetts,370,300,530,740,1940
Michigan,5000,7500,15000,12500,40000
Minnesota,5500,13000,26000,13500,58000
Mississippi,7500,3700,3300,2400,16900
Missouri,1300,770,650,590,3310
Montana,900,7000,11500,16000,35400
Nebraska,720,6000,8500,4300,19520
New Jersey,1000,1500,270,340,3110
New Mexico,1700,1400,1100,1600,5800
New York,4200,4000,10000,9000,27200
North Carolina,2600,1600,1400,5500,11100
North Dakota,8500,27000,71000,44000,150500
Ohio,2900,1700,1600,2100,8300
Oklahoma,3300,310,560,2700,6870
Oregon,2900,4300,7500,9500,24200
Pennsylvania,2900,1300,1300,3100,8600
South Carolina,3500,1300,920,1300,7020
South Dakota,10500,11000,25000,11000,57500
Tennessee,1700,580,950,840,4070
Texas,30000,36000,12000,39000,117000
Utah,1900,4800,3200,1600,11500
Vermont,410,20,400,260,1090
Virginia,1100,230,810,730,2870
Washington,13500,6000,5000,9000,33500
West Virginia,1700,990,190,1000,3880
Wisconsin,3100,5500,12000,7500,28100
Wyoming,340,2600,7000,2200,12140
