,State,"Winter_2015
No_of_colonies","Winter_2015
Lost","Winter_2015
Per_lost","Winter_2015
Added","Winter_2015
Renovated","Winter_2015
Per_renovated","Spring_2015
No_of_colonies","Spring_2015
Lost","Spring_2015
Per_lost","Spring_2015
Added","Spring_2015
Renovated","Spring_2015
Per_renovated","Summer_2015
No_of_colonies","Summer_2015
Lost","Summer_2015
Per_lost","Summer_2015
Added","Summer_2015
Renovated","Summer_2015
Per_renovated","Fall_2015
No_of_colonies","Fall_2015
Lost","Fall_2015
Per_lost","Fall_2015
Added","Fall_2015
Renovated","Fall_2015
Per_renovated"
0,Alabama,7000,1800,26,2800,250,4,7500,860,12,1900,680,9,8500,1400,16,160,260,3,8000,610,8,80,60,1
1,Arizona,35000,4600,13,3400,2100,6,33000,5500,17,19500,7000,21,40000,6000,15,4300,15500,39,36000,12000,31,3000,16000,41
2,Arkansas,13000,1500,11,1200,90,1,13500,1900,14,11500,5500,41,23000,9000,30,500,210,1,23000,2400,9,1900,0,0
3,California,1440000,255000,15,250000,124000,7,1040000,104000,10,170000,285000,27,730000,76000,10,40000,93000,12,750000,149000,12,39000,75000,6
4,Colorado,3500,1500,12,200,140,1,12000,1900,8,6000,3500,14,29000,4500,15,1400,1400,5,24000,2500,10,3400,0,0
5,Connecticut,3900,870,22,290,0,0,3000,80,3,1100,150,5,3700,50,1,190,440,12,3200,210,7,40,70,2
6,Florida,305000,42000,13,54000,25000,8,210000,35000,16,44000,24000,11,164000,36000,16,37000,29000,13,220000,37000,14,30000,28000,11
7,Georgia,104000,14500,14,47000,9500,9,114000,23000,19,25000,19000,15,108000,13000,12,19500,15500,14,110000,18000,15,4400,1900,2
8,Hawaii,10500,380,4,3400,760,7,13500,120,1,1100,1200,9,14500,2700,19,1200,5500,38,13000,690,5,2700,760,6
9,Idaho,81000,3700,4,2600,8000,9,62000,6500,9,16500,10500,15,80000,14000,11,5500,11500,9,121000,22000,15,5500,5500,4
10,Illinois,6000,4200,40,2300,390,4,9500,1300,14,6000,1500,16,14000,1400,10,1300,1100,8,14000,690,5,0,30,0
11,Indiana,9000,2100,22,490,120,1,8000,1300,10,4900,4300,34,15000,1600,11,1400,420,3,11500,1100,10,140,0,0
12,Iowa,12500,3100,18,1700,270,2,12500,1400,6,6500,3100,13,29000,3000,8,640,680,2,35000,4300,12,40,30,0
13,Kansas,4600,1600,23,450,70,1,6000,670,10,2800,420,6,9000,1000,11,100,160,2,8500,3400,40,50,20,0
14,Kentucky,7500,4100,39,250,0,0,7500,980,12,3600,1500,18,10000,1300,13,170,550,6,8500,1100,13,20,10,0
15,Louisiana,51000,8000,16,3100,6500,13,44000,1800,4,6500,8000,18,50000,2000,4,2300,1800,3,55000,4900,7,1100,2400,3
16,Maine,3100,380,6,20,0,0,4600,3200,11,3500,700,2,6000,450,8,410,140,2,4700,60,1,530,20,0
17,Maryland,7500,4100,41,1600,870,9,8000,370,3,2600,710,7,7000,680,9,730,70,1,7500,730,8,0,0,0
18,Massachusetts,2900,1000,22,260,120,3,4100,320,2,940,510,4,7500,560,8,290,400,5,4500,260,6,30,30,1
19,Michigan,16500,11500,19,7500,2400,4,58000,9500,11,13500,5500,6,89000,7000,8,3300,3800,4,67000,9000,12,210,1600,2
20,Minnesota,28000,3700,5,690,530,1,71000,12500,10,20000,21000,17,133000,32000,24,640,2300,2,104000,10000,10,600,40,0
