,State,"Winter_2015
Per_lost","Spring_2015
Per_lost","Summer_2015
Per_lost","Fall_2015
Per_lost",Avg_2015_Per_lost,"Winter_2016
Per_lost","Spring_2016
Per_lost","Summer_2016
Per_lost","Fall_2016
Per_lost",Avg_2016_Per_lost,"Winter_2017
Per_lost","Spring_2017
Per_lost_x","Summer_2017
Per_lost","Fall_2017
Per_lost",Avg_2017_Per_lost,"Winter_2018
Per_lost","Spring_2018
Per_lost_y",Avg_2018_Per_lost
0,Alabama,26,12,16,8,15.5,23,12,15,9,14.75,23,7,9,13,13,11,7,9
1,Arizona,13,17,15,31,19,16,16,19,21,18,19,12,16,22,17.25,23,12,17.5
2,Arkansas,11,14,30,9,16,19,14,5,9,11.75,18,8,21,30,19.25,34,8,21
3,California,15,10,10,12,11.75,14,9,10,15,12,13,9,10,13,11.25,14,9,11.5
4,Colorado,12,8,15,10,11.25,9,6,18,15,12,5,15,10,21,12.75,23,15,19
5,Connecticut,22,3,1,7,8.25,10,4,9,8,7.75,12,5,4,8,7.25,5,5,5
6,Florida,13,16,16,14,14.75,14,12,11,14,12.75,11,14,22,21,17,14,14,14
7,Georgia,14,19,12,15,15,16,10,13,10,12.25,11,9,13,14,11.75,18,9,13.5
8,Hawaii,4,1,19,5,7.25,2,6,4,7,4.75,1,1,7,1,2.5,11,1,6
9,Idaho,4,9,11,15,9.75,9,8,10,11,9.5,9,13,10,5,9.25,13,13,13
10,Illinois,40,14,10,5,17.25,15,8,12,8,10.75,26,10,8,13,14.25,23,10,16.5
11,Indiana,22,10,11,10,13.25,12,3,6,16,9.25,25,11,7,15,14.5,13,11,12
12,Iowa,18,6,8,12,11,22,9,11,9,12.75,19,10,5,14,12,3,10,6.5
13,Kansas,23,10,11,40,21,22,16,33,26,24.25,26,7,24,13,17.5,26,7,16.5
14,Kentucky,39,12,13,13,19.25,20,8,13,13,13.5,19,12,18,12,15.25,29,12,20.5
15,Louisiana,16,4,4,7,7.75,20,8,12,4,11,6,4,21,5,9,7,4,5.5
16,Maine,6,11,8,1,6.5,5,17,8,8,9.5,32,3,7,1,10.75,13,3,8
17,Maryland,41,3,9,8,15.25,11,4,3,5,5.75,23,2,19,12,14,19,2,10.5
18,Massachusetts,22,2,8,6,9.5,12,4,6,9,7.75,45,2,8,18,18.25,26,2,14
19,Michigan,19,11,8,12,12.5,12,7,14,12,11.25,8,8,16,13,11.25,24,8,16
20,Minnesota,5,10,24,10,12.25,14,10,19,12,13.75,9,9,15,7,10,6,9,7.5
21,Mississippi,11,12,10,4,9.25,15,4,17,8,11,4,4,12,15,8.75,6,4,5
22,Missouri,15,4,9,5,8.25,13,6,5,7,7.75,16,4,6,9,8.75,18,4,11
23,Montana,6,2,7,8,5.75,1,4,7,13,6.25,1,3,11,11,6.5,0,3,1.5
24,Nebraska,8,6,8,10,8,4,14,18,12,12,6,3,8,18,8.75,3,3,3
25,New Jersey,12,10,1,3,6.5,17,8,2,3,7.5,8,2,3,8,5.25,11,2,6.5
26,New Mexico,10,12,25,5,13,26,22,17,23,22,38,24,29,24,28.75,52,24,38
27,New York,22,3,14,9,12,13,9,18,18,14.5,18,3,11,8,10,14,3,8.5
28,North Carolina,27,8,12,10,14.25,11,7,6,22,11.5,11,12,12,22,14.25,23,12,17.5
29,North Dakota,1,6,19,13,9.75,6,5,13,11,8.75,1,4,10,6,5.25,3,4,3.5
30,Ohio,48,11,8,13,20,18,10,8,11,11.75,25,7,8,15,13.75,29,7,18
31,Oklahoma,23,8,1,7,9.75,24,2,15,6,11.75,2,1,12,0,3.75,21,1,11
32,Oregon,8,6,9,8,7.75,3,3,7,8,5.25,9,5,13,11,9.5,5,5,5
33,Pennsylvania,31,8,7,11,14.25,23,9,6,15,13.25,22,3,8,23,14,10,3,6.5
34,South Carolina,15,5,17,13,12.5,21,10,7,8,11.5,9,4,12,13,9.5,12,4,8
35,South Dakota,5,7,18,4,8.5,13,6,13,8,10,6,8,10,6,7.5,1,8,4.5
36,Tennessee,21,10,12,11,13.5,19,7,10,9,11.25,19,14,17,12,15.5,30,14,22
37,Texas,10,11,12,10,10.75,9,10,8,13,10,14,8,13,7,10.5,8,8,8
38,Utah,14,13,22,7,14,13,19,10,5,11.75,14,9,19,7,12.25,4,9,6.5
39,Vermont,13,2,1,15,7.75,7,(Z),6,4,5.666666667,7,2,2,7,4.5,10,2,6
40,Virginia,28,4,9,10,12.75,17,4,10,10,10.25,18,11,10,12,12.75,30,11,20.5
41,Washington,13,4,12,7,9,9,4,7,9,7.25,9,6,18,6,9.75,5,6,5.5
42,West Virginia,30,12,4,9,13.75,21,14,3,13,12.75,10,5,10,14,9.75,24,5,14.5
43,Wisconsin,28,7,15,14,16,15,7,16,13,12.75,20,6,17,15,14.5,16,6,11
44,Wyoming,17,13,7,5,10.5,5,10,18,8,10.25,21,4,15,12,13,3,4,3.5
