,State,"Winter_2015
Per_lost","Spring_2015
Per_lost","Summer_2015
Per_lost","Fall_2015
Per_lost","Winter_2016
Per_lost","Spring_2016
Per_lost","Summer_2016
Per_lost","Fall_2016
Per_lost","Winter_2017
Per_lost","Spring_2017
Per_lost","Summer_2017
Per_lost","Fall_2017
Per_lost","Winter_2018
Per_lost","Spring_2018
Per_lost"
0,Alabama,26,12,16,8,23,12,15,9,23,7,9,13,11,10
1,Arizona,13,17,15,31,16,16,19,21,19,12,16,22,23,13
2,Arkansas,11,14,30,9,19,14,5,9,18,8,21,30,34,13
3,California,15,10,10,12,14,9,10,15,13,9,10,13,14,6
4,Colorado,12,8,15,10,9,6,18,15,5,15,10,21,23,9
5,Connecticut,22,3,1,7,10,4,9,8,12,5,4,8,5,3
6,Florida,13,16,16,14,14,12,11,14,11,14,22,21,14,17
7,Georgia,14,19,12,15,16,10,13,10,11,9,13,14,18,12
8,Hawaii,4,1,19,5,2,6,4,7,1,1,7,1,11,2
9,Idaho,4,9,11,15,9,8,10,11,9,13,10,5,13,5
10,Illinois,40,14,10,5,15,8,12,8,26,10,8,13,23,20
11,Indiana,22,10,11,10,12,3,6,16,25,11,7,15,13,20
12,Iowa,18,6,8,12,22,9,11,9,19,10,5,14,3,9
13,Kansas,23,10,11,40,22,16,33,26,26,7,24,13,26,4
14,Kentucky,39,12,13,13,20,8,13,13,19,12,18,12,29,8
15,Louisiana,16,4,4,7,20,8,12,4,6,4,21,5,7,2
16,Maine,6,11,8,1,5,17,8,8,32,3,7,1,13,6
17,Maryland,41,3,9,8,11,4,3,5,23,2,19,12,19,5
18,Massachusetts,22,2,8,6,12,4,6,9,45,2,8,18,26,3
19,Michigan,19,11,8,12,12,7,14,12,8,8,16,13,24,9
20,Minnesota,5,10,24,10,14,10,19,12,9,9,15,7,6,6
21,Mississippi,11,12,10,4,15,4,17,8,4,4,12,15,6,9
22,Missouri,15,4,9,5,13,6,5,7,16,4,6,9,18,6
23,Montana,6,2,7,8,1,4,7,13,1,3,11,11,0,3
24,Nebraska,8,6,8,10,4,14,18,12,6,3,8,18,3,7
25,New Jersey,12,10,1,3,17,8,2,3,8,2,3,8,11,2
26,New Mexico,10,12,25,5,26,22,17,23,38,24,29,24,52,1
27,New York,22,3,14,9,13,9,18,18,18,3,11,8,14,9
28,North Carolina,27,8,12,10,11,7,6,22,11,12,12,22,23,7
29,North Dakota,1,6,19,13,6,5,13,11,1,4,10,6,3,3
30,Ohio,48,11,8,13,18,10,8,11,25,7,8,15,29,8
31,Oklahoma,23,8,1,7,24,2,15,6,2,1,12,0,21,10
32,Oregon,8,6,9,8,3,3,7,8,9,5,13,11,5,3
33,Pennsylvania,31,8,7,11,23,9,6,15,22,3,8,23,10,6
34,South Carolina,15,5,17,13,21,10,7,8,9,4,12,13,12,9
35,South Dakota,5,7,18,4,13,6,13,8,6,8,10,6,1,7
36,Tennessee,21,10,12,11,19,7,10,9,19,14,17,12,30,15
37,Texas,10,11,12,10,9,10,8,13,14,8,13,7,8,10
38,Utah,14,13,22,7,13,19,10,5,14,9,19,7,4,7
39,Vermont,13,2,1,15,7,(Z),6,4,7,2,2,7,10,8
40,Virginia,28,4,9,10,17,4,10,10,18,11,10,12,30,9
41,Washington,13,4,12,7,9,4,7,9,9,6,18,6,5,5
42,West Virginia,30,12,4,9,21,14,3,13,10,5,10,14,24,7
43,Wisconsin,28,7,15,14,15,7,16,13,20,6,17,15,16,12
44,Wyoming,17,13,7,5,5,10,18,8,21,4,15,12,3,10
