State,"Winter_2017
Mites","Winter_2017
Parasites","Winter_2017
Diseases","Winter_2017
Pesticides","Winter_2017
Other","Winter_2017
Unknown","Spring_2017
Mites","Spring_2017
Parasites","Spring_2017
Diseases","Spring_2017
Pesticides","Spring_2017
Other","Spring_2017
Unknown","Summer_2017
Mites","Summer_2017
Parasites","Summer_2017
Diseases","Summer_2017
Pesticides","Summer_2017
Other","Summer_2017
Unknown","Fall_2017
Mites","Fall_2017
Parasites","Fall_2017
Diseases","Fall_2017
Pesticides","Fall_2017
Other","Fall_2017
Unknown"
Alabama,19.9,9.8,0.2,3.2,6.7,9.3,17.9,13.6,0,4.2,9.4,5.3,69.5,22.1,0,35.4,7.5,3.9,22.3,10.1,8.8,9.5,1.7,5.2
Arizona,35.6,2,3.8,1.7,6.5,2.1,58.4,15.9,19.7,12.4,20.4,0.7,19.8,0.4,0.5,1.1,12.4,6.3,61.6,4.2,2.3,1.6,4.1,0.1
Arkansas,31.5,14.6,0.1,0.5,3.0,1,19.4,9.6,1.9,3.9,2.7,2.5,61.4,9.1,0,17,9.3,2.3,37.5,29.2,26.6,31,24.1,0.4
California,37.7,12.6,7.5,9.2,6.6,6.3,38.0,7.7,3.1,13,4.8,3.4,42.3,15.8,5.6,13.4,10.1,3.6,47.9,14.1,7.4,17,17.1,6.3
Colorado,17.0,0,0,0.9,2.6,0.4,31.3,0.8,5.3,3.2,4.6,0.1,52.9,1.4,2.6,9.1,7.8,1.4,30.2,0.7,0.2,20,15.5,5.3
Connecticut,51.5,1.5,0,0,6.1,5.6,9.1,0.2,0,0.5,1.9,0.7,25.1,1.5,0.1,0,13.0,0,36.4,2.8,0,0.6,1.6,1.6
Florida,37.6,14.8,1.5,14.2,6.2,17.9,36.5,14.4,6.1,9,6.5,18.9,42.9,13.2,3.7,6.3,11.4,21.5,41.4,16.8,7.5,10.4,7.6,26.2
Georgia,35.3,7,0.2,2.6,4.4,1.8,34.1,5.8,1,6.6,6.5,2.8,47.6,18.0,2.3,14.1,15.1,6.9,56.8,15.1,12.3,15.3,3.6,4.6
Hawaii,1.2,2.1,0.2,0,0.1,0.1,88.9,3.7,0,0,0.4,0,2.8,4.3,0.3,0,2.0,0,57.2,66.1,0.1,0,0.1,0
Idaho,74.2,42.3,42.3,21.2,1.7,0.4,30.5,6.4,4,8.3,7.8,4.8,53.7,19.1,6.7,15.5,9.5,5.1,34.0,16.9,17.7,14.9,1.7,0.2
Illinois,21.2,13.1,0.5,3.7,9.9,8,11.3,4.3,0.7,3,5.6,1.5,29.9,14.2,2.8,2.8,4.6,3.3,28.9,10.2,0.8,7.9,4.9,4.9
Indiana,15.8,8,5.2,4.1,10.4,7.1,5.5,2.1,0.1,43.3,8.6,1.2,13.9,5.9,0.4,3.9,3.8,2,23.5,5.6,1.7,0.7,3.9,8
Iowa,33.6,8.3,8.4,12,11.9,11.7,39.3,27.6,7.5,26.6,8.1,0.9,17.2,7.2,2.4,3.9,4.0,2.2,61.0,25.5,12.3,32.6,17.9,5.5
Kansas,47.2,3,0,3.6,16.4,14.3,17.3,8.5,0.7,22.6,1.7,6.4,65.4,52.6,14.8,20.3,1.1,7.4,17.9,7.7,3.3,8.6,0.6,10.2
