,State,"Winter_2015
Mites","Winter_2015
Parasites","Winter_2015
Diseases","Winter_2015
Pesticides","Winter_2015
Other","Winter_2015
Unknown","Spring_2015
Mites","Spring_2015
Parasites","Spring_2015
Diseases","Spring_2015
Pesticides","Spring_2015
Other","Spring_2015
Unknown","Summer_2015
Mites","Summer_2015
Parasites","Summer_2015
Diseases","Summer_2015
Pesticides","Summer_2015
Other","Summer_2015
Unknown","Fall_2015
Mites","Fall_2015
Parasites","Fall_2015
Diseases","Fall_2015
Pesticides","Fall_2015
Other","Fall_2015
Unknown"
0,Alabama,10.0,5.4,0,2.2,9.1,9.4,16.7,42.5,0,2.3,3.2,4.1,63.1,70.6,0,2.6,2.2,17.7,3.1,6.4,0.2,0.2,2.8,1.9
1,Arizona,26.9,20.5,0.1,0,1.8,3.1,8.4,32.1,0.5,20.1,28.2,0.3,53.5,24.8,5.4,17.3,7.6,5.1,50.1,1.7,1.1,3.5,0.5,15.5
2,Arkansas,17.6,11.4,1.5,3.4,1.0,1,65.9,63.4,7,22.6,27.4,9.3,69.2,32.4,0.9,5,1.8,1.4,38.1,9.7,0.1,8.2,8.5,0.6
3,California,24.7,7.2,3,7.5,6.5,2.8,50.9,21.5,7.8,23,14.2,3.1,39.9,20.4,12.5,19.6,15.0,4.7,37.3,12.7,6.2,11.7,10.5,7.3
4,Colorado,14.6,0.9,1.8,0.6,2.6,5.9,38.6,1.8,4.6,2.8,3.4,6.6,50.5,1.5,2.7,16.5,3.7,2.7,47.6,24.4,21.2,19.7,8.4,1.8
5,Connecticut,2.5,1.4,0,0,21.2,2.4,10.2,0.4,1.9,0.8,1.0,0.7,39.3,1.2,0.4,1.5,7.8,0,10.5,1.7,0.5,1.1,3.4,2
6,Florida,22.3,13.5,0.8,8.9,5.1,4.4,44.2,26.4,2.7,17.7,13.6,5.4,39.5,21.7,6.7,22.9,21.9,3.4,27.3,18.4,2.5,6.8,3,4.2
7,Georgia,6.2,4.9,3.3,2.6,4.8,10.5,52.8,17.5,2.9,28.7,11.5,4.1,47.6,16.2,3.6,21.2,8.9,3.6,43.5,13.9,5.3,4.5,3.7,1.3
8,Hawaii,38.8,37.7,1.6,0,2.0,0,60.1,61,0.3,0.1,3.2,0.1,78.1,80.5,0.1,0.1,2.5,0,31.0,33.9,0.2,0,0,0
9,Idaho,39.8,6.7,12.5,4.8,8.9,4.9,25.5,6.7,6.5,6,13.7,0.3,46.8,5.2,1.7,10,2.2,6.4,38.9,0.6,4.3,4,2.8,4.5
10,Illinois,12.3,6.9,0.7,0.4,12.6,11.6,10.3,3.7,0.2,2.5,2.3,2.4,7.7,3.0,0.6,0.4,3.4,1,9.4,2.5,0.3,0.9,1,3.1
11,Indiana,20.7,0.3,0.2,0.3,22.3,11.7,15.4,1.8,7,0.5,4.4,2,13.7,10.3,4.8,8.2,1.0,6.2,15.1,0.5,6.3,0.1,0.6,3.7
12,Iowa,26.0,0.7,4.6,3.4,18.0,3.4,21.5,5.1,2.9,7.8,2.7,1.9,17.4,5.8,0.1,4.7,5.6,3.4,53.4,0.9,0.6,6.4,24.8,1.4
13,Kansas,32.7,1.3,1.1,14.2,9.5,3.4,14.4,2.4,0.9,0.1,3.5,4.9,22.5,16.2,0.2,14.1,14.8,1.7,44.5,24.8,0.2,25.1,33.9,19
14,Kentucky,10.8,10.7,2.5,2.5,22.7,12.9,21.7,18.2,5.3,1.8,9.5,2.9,40.4,11.3,1.2,6.5,9.0,2,22.2,14.8,0.4,9.8,7.2,1.7
15,Louisiana,17.2,4.7,4.3,1.7,3.1,2.1,36.4,3.7,0.2,1.1,5.0,0.5,25.9,2.3,0,1.6,3.0,0.2,10.9,1,0,0.6,2.4,0.2
16,Maine,4.4,0.1,0,0,7.5,1.9,72.1,34.5,0.1,34.5,0.5,0.1,9.9,3.4,13.2,0,2.6,7.8,18.0,0.2,0,0,0.1,0.4
17,Maryland,10.1,1.8,0.4,0,24.2,12.4,4.9,1.3,0.2,2.5,1.6,1.5,26.9,19.1,2.9,22.8,7.1,2,5.6,2,0.1,0,0.2,4.3
18,Massachusetts,23.5,3.5,2.1,2.8,7.6,4.7,66.8,61.7,0.2,61.8,4.4,3.1,16.3,2.9,0.4,2.1,2.5,0.3,31.4,1.6,6.2,1.9,2.6,1.1
19,Michigan,14.3,3.1,1.1,1.6,8.3,4.6,26.9,13,0.6,9.1,16.4,3.1,44.6,16.3,7.3,13.7,1.8,8.8,30.2,4.1,0,4.1,3.2,3.7
20,Minnesota,1.4,0.1,0,0.1,1.6,2.1,25.4,6.2,1.4,16.5,10.1,9.3,33.3,14.6,7.4,27.4,7.0,7.2,43.6,8.7,8.4,25,3.8,8.9
21,Mississippi,9.4,8.2,0.1,2.1,1.2,1.1,10.1,6,0.3,0.1,2.3,1.7,45.5,2.2,0,1.1,3.8,1.4,10.6,2.5,0.3,0,0.7,1.3
22,Missouri,13.1,6,2.2,4.2,11.8,6.3,5.1,6.2,3.1,1.6,1.0,7.4,11.1,11.7,3,2,2.1,1.4,2.8,6,3.3,0.1,0.8,1.5
23,Montana,8.7,0.5,0.6,0.8,2.3,7.9,9.0,0.9,0.8,5.3,1.6,0,52.5,16.4,10.7,2.3,6.4,5.3,35.5,19.8,14.4,11.4,3.2,13.9
24,Nebraska,5.9,0.1,0.1,0.5,0.3,3,6.5,6.9,0,1.4,2.1,1.5,33.2,10.3,10.9,13.2,4.6,4.3,15.5,0,0.2,0.3,0.4,1.7
