State,"Winter_2018
No_of_colonies","Winter_2018
Lost","Winter_2018
Per_lost","Winter_2018
Added","Winter_2018
Renovated","Winter_2018
Per_renovated","Spring_2018
No_of_colonies","Spring_2018
Lost","Spring_2018
Per_lost","Spring_2018
Added","Spring_2018
Renovated","Spring_2018
Per_renovated"
Alabama,7500,820,11,1200,1500,20,7500,810,10,1300,710,8
Arizona,25000,6000,23,810,230,1,18500,2600,13,12000,2100,11
Arkansas,22000,7500,34,540,810,4,11500,1500,13,14000,1900,17
California,1150000,220000,14,200000,132500,9,1140000,70000,6,176000,254000,21
Colorado,13000,4900,23,1400,190,1,16500,2300,9,9500,4570,18
Connecticut,2900,140,5,220,330,11,3600,120,3,340,170,5
Florida,245000,35000,14,57000,38000,15,270000,48000,17,54000,69000,25
Georgia,134000,25000,18,29000,39000,28,134000,16000,12,34000,16000,12
Hawaii,15000,1600,11,1200,5100,34,14500,280,2,300,3100,21
Idaho,164000,22000,13,2500,2600,2,60000,4800,5,17000,29000,31
Illinois,10500,2400,23,1000,630,6,10000,2100,20,4700,2800,27
Indiana,7000,1000,13,300,30,0,8000,1800,20,4000,730,8
Iowa,41000,1300,3,420,110,0,45000,4300,9,15500,4800,10
Kansas,3700,950,26,500,410,11,3900,170,4,1800,2100,54
Kentucky,5500,1600,29,520,20,0,4800,450,8,1400,560,9
Louisiana,50000,3600,7,4100,320,1,48000,970,2,7000,4000,8
Maine,1900,240,13,40,30,2,2200,1100,6,430,880,5
Maryland,8000,1500,19,0,190,2,7000,370,5,2400,1200,15
Massachusetts,3800,1000,26,240,290,8,3600,260,3,910,350,5
Michigan,16500,8000,24,10500,3900,11,36000,6000,9,18000,8000,12
Minnesota,39000,3900,6,13500,2900,5,69000,6500,6,46000,24000,22
Mississippi,19000,2000,6,28000,5500,17,53000,5000,9,3900,6500,12
Missouri,8000,1400,18,1400,50,1,7000,390,6,1800,800,11
Montana,35000,140,0,840,0,0,50000,4800,3,26000,20000,12
Nebraska,6500,430,3,0,0,0,10500,2700,7,3100,700,2
New Jersey,6500,730,11,180,190,3,4400,270,2,1200,170,1
New Mexico,7500,3900,52,180,0,0,1900,50,1,290,450,10
New York,26000,3700,14,400,170,1,20000,3300,9,8000,2300,6
North Carolina,18500,4200,23,2400,260,1,16000,1200,7,3600,800,5
North Dakota,64000,3200,3,2600,10,0,72000,11000,3,30000,46000,11
Ohio,12000,4000,29,300,580,4,11000,1100,8,9000,1800,14
Oklahoma,17000,3700,21,890,240,1,15500,1600,10,9000,6500,42
Oregon,81000,4100,5,17000,3900,4,41000,3400,3,23000,24000,23
Pennsylvania,14500,1500,10,1600,670,5,15500,1100,6,6000,1600,8
South Carolina,13500,1800,12,1900,2800,19,14000,1300,9,2400,4000,29
South Dakota,23000,390,1,250,90,0,10500,12000,7,21000,65000,40
Tennessee,10000,3000,30,600,470,5,8000,1200,15,3200,1300,16
Texas,205000,22000,8,118000,42000,14,305000,31000,10,100000,69000,22
Utah,7500,620,4,490,50,0,14500,1700,7,10000,4100,16
Vermont,5500,570,10,20,0,0,5500,520,8,2600,140,2
Virginia,7000,2100,30,540,160,2,5000,490,9,2400,700,13
Washington,44000,4600,5,7000,860,1,55000,6500,5,19000,18900,15
West Virginia,4700,2000,24,330,60,1,7000,490,7,2100,550,8
Wisconsin,21000,4600,16,2800,1560,5,24000,6000,12,12500,6600,13
Wyoming,5500,220,3,70,0,0,8500,2200,10,3100,2300,10
