,State,"Winter_2016
Mites","Winter_2016
Parasites","Winter_2016
Diseases","Winter_2016
Pesticides","Winter_2016
Other","Winter_2016
Unknown","Spring_2016
Mites","Spring_2016
Parasites","Spring_2016
Diseases","Spring_2016
Pesticides","Spring_2016
Other","Spring_2016
Unknown","Summer_2016
Mites","Summer_2016
Parasites","Summer_2016
Diseases","Summer_2016
Pesticides","Summer_2016
Other","Summer_2016
Unknown","Fall_2016
Mites","Fall_2016
Parasites","Fall_2016
Diseases","Fall_2016
Pesticides","Fall_2016
Other","Fall_2016
Unknown"
0,Alabama,24.2,22,4.3,8.1,2.4,11.3,9.6,8.2,0.3,1.7,4.8,5.4,11.7,42,0,3.8,3.2,13.8,12.3,9.9,0.2,2.4,6.7,3.3
1,Arizona,33.8,2.8,0,7.7,6.5,7.2,26.8,47.5,17.2,12,17.4,3.5,41.7,1,0.9,13.5,13.4,8.9,98.8,15.5,2.3,6.5,4.3,3.2
2,Arkansas,57.4,6.9,0,0.5,1.9,8.1,84.9,8.5,5.5,0.1,3.4,1.6,80.7,9,0.4,7.9,2.7,0.3,21.1,4.8,0,1.3,1.1,3.3
3,California,38.1,15.2,9,13.5,8.4,4.4,49.7,14.1,11.2,14.2,15.3,2.6,42.2,17.8,8.5,18.8,10.4,6.9,41.9,13.7,8,9.1,9.6,3.5
4,Colorado,2.9,4.1,0.5,0.2,2.7,0.2,38.7,0.8,3.3,1.4,2.6,0.3,49.3,22.4,16.8,24.6,10.6,0.1,32.4,1.3,0.1,3.1,13,0.1
5,Connecticut,12.3,0.8,0.2,0,7.7,1.7,9.3,0.6,0.5,0.3,4.4,1.2,18.8,1.6,0,0.2,5,0.8,14.7,6.6,1.1,1,5.8,3.2
6,Florida,23.6,5.8,0.4,4.9,1.8,1.4,48.2,23.3,10,11.6,10.1,2,45.1,23.4,2.7,9.9,8.5,1.8,30.9,27.1,7.7,17,13.6,6.5
7,Georgia,32.3,7.8,2.1,21.4,3.2,3.9,59.3,28.4,2,28.4,11.7,2.7,30.7,16.4,2.4,12.1,7.6,4.5,43.6,8.6,3.7,7.6,4.1,2.5
8,Hawaii,0.3,1.5,0,0.1,0.8,0,35.6,38.1,0,0.6,3.2,0,67.8,75.3,0.1,0.8,0,0,39.9,40.8,0,0.1,0.2,0.1
9,Idaho,31.5,2.3,2.1,5.9,5.4,1.4,21.2,4.8,2.7,3.1,5.4,2.7,25.3,4.7,4.5,7.6,6,3.3,31.9,0.8,4.8,0.2,4.2,3
10,Illinois,12.4,6.4,0.3,2.6,4.6,8.6,11.4,4.4,2,3.1,4.7,2.1,17.4,7.9,0.7,4.3,2.9,1.6,27.8,11.7,1.2,5.6,3.9,4.8
11,Indiana,17.4,3.7,0.9,0.3,7.2,5.5,12.5,2.9,0,2.1,2.8,4.3,50.4,12.4,1.2,0.6,2.5,1.2,28.2,9.6,0.2,1.4,1,3.8
12,Iowa,52.8,14.4,13.8,2.7,24,4.8,23.5,17.8,18.7,0.6,6,5.7,32.6,3.4,0.8,16.7,2.4,5.6,18.7,9.8,8.9,9,11.4,6.3
13,Kansas,30.3,10,0.1,1.1,2.4,5.4,47.3,11.6,2.8,8.3,3.7,1.8,42.8,25.5,14.1,29.1,4.5,2.6,29.2,8.3,0.3,3.1,5.1,1.4
