State,"Winter_2018
Mites","Winter_2018
Parasites","Winter_2018
Diseases","Winter_2018
Pesticides","Winter_2018
Other","Winter_2018
Unknown","Spring_2018
Mites","Spring_2017
Parasites","Spring_2018
Diseases","Spring_2018
Pesticides","Spring_2018
Other","Spring_2018
Unknown"
Alabama,29.2,30.2,1.9,14.9,8.6,4.5,23.6,25.5,1.2,13.1,11.5,2.1
Arizona,36.3,4.3,4.6,15.3,7.9,4.2,48.8,7.3,33.2,0.8,14.5,3.7
Arkansas,21.1,9.6,1,23,4.6,13.9,35.5,16,0.9,2.8,11.4,16.6
California,41.4,11.3,4.8,11.5,8.0,4.9,41.9,10.2,11.2,13.8,9.1,5.1
Colorado,31.7,0.8,3.8,0.5,13.7,2.4,42.8,0,13.1,3.7,4.3,0.4
Connecticut,14.5,0.7,0,0.8,7.7,3.5,11.1,0.9,0.4,0.8,0.8,0.4
Florida,31.7,15.3,4.5,9.2,5.5,16,45.0,27.6,9.7,15.6,10.1,21.1
Georgia,39.6,18.7,0.9,14.8,27.1,2.1,53.0,25.6,13.9,14.8,31.6,9.6
Hawaii,74.5,76.8,0.2,0,0.1,0.1,59.8,64,0.5,0,0.2,0.2
Idaho,28.3,5.7,0.8,3.4,3.4,0.4,50.8,4,3.2,18,4.0,4.1
Illinois,25.7,11.2,3.6,3.5,10.4,10.9,13.8,7.9,6.7,6.6,9.9,2.4
Indiana,33.4,8.3,3,0.5,9.9,3.7,78.9,3.5,0.4,4.5,1.3,1.1
Iowa,5.3,1.1,0.3,0.6,0.6,1.4,12.7,9.3,0.9,7.9,8.4,0.3
Kansas,63.0,20.3,1,4.3,27.9,9.1,42.8,31.6,1.3,24.9,2.1,1.6
Kentucky,43.0,29.6,0.9,11,8.0,5.9,35.4,21.8,0.6,1.1,3.7,6.3
Louisiana,4.9,0.7,0.2,0.7,4.5,1.6,8.1,5.9,0.2,0.8,1.2,1.3
Maine,23.6,0.6,0.2,0,5.2,7.4,1.9,1.1,0.2,1.8,0.6,0.1
Maryland,18.2,5.6,4.4,1.5,14.3,3.1,11.8,3.4,0.8,0.3,4.4,0.4
Massachusetts,19.1,1,0.8,0.8,9.3,7.2,6.3,1.1,1,1.5,2.0,2.1
Michigan,21.4,3.5,0.7,7.4,12.0,5.9,65.7,16.7,11,11.6,12.9,10
Minnesota,2.0,0.7,1.9,0.6,1.1,1.6,12.2,8.5,6.7,5.6,7.8,21.7
Mississippi,7.0,4.8,0,0.6,2.4,34.4,44.4,24.1,0,0.2,5.1,2.1
Missouri,86.0,77.8,0.3,3.5,26.5,23.9,11.8,13.2,0.8,1.5,8.3,2.6
Montana,28.9,0,0,26.1,0.1,0.1,41.3,4.3,2.8,1.3,1.0,0.8
Nebraska,4.5,1.6,0,2.8,1.7,0.9,3.9,0.4,0.4,3.2,7.5,4
New Jersey,14.9,1.9,0,0.4,3.8,0.8,16.5,3.3,0,0.1,3.4,0.1
New Mexico,42.8,0.5,0,1.3,9.4,0.5,0.3,0.1,0.3,0,0.2,1
New York,25.3,11.9,1.4,1.9,8.0,6,40.8,20.3,15.4,6,17.3,3.6
North Carolina,29.7,10.2,0.3,0.3,13.4,8,9.7,2.6,0.5,2.4,14.6,0.8
North Dakota,1.4,0.1,1.2,0,0.9,0,24.7,7.5,4.8,4.7,3.9,4.3
Ohio,39.6,10,6.5,3.2,15.8,11.6,38.8,30.8,1.7,2.7,21.7,1.6
Oklahoma,24.1,8.5,3.2,0.1,3.1,2,60.2,10.9,9.6,26.7,12.4,0.1
Oregon,36.0,0.7,1.2,6.7,3.7,1,45.9,3.5,8.1,6.6,15.5,0.2
Pennsylvania,34.4,5.6,3.3,9.3,5.9,9.9,31.3,16.2,2.2,2.1,1.6,1.9
South Carolina,29.3,15.5,0.7,2.6,13.5,3,14.3,3.4,0.7,1.6,9.8,2.9
South Dakota,4.4,0.1,0,0,0.5,0.1,53.3,42.2,7.7,4,39.4,0
Tennessee,29.2,20.4,2.3,3,13.2,19.7,30.0,22.9,3,3.4,6.2,2.5
Texas,21.5,10.1,4.8,0.2,1.7,10.3,26.0,17.4,7.9,4.4,8.3,14.3
Utah,18.7,0,0.1,0,0.1,0.5,43.5,3.7,2,1.7,1.4,1.9
Vermont,17.0,1.2,0.3,0.6,2.0,0.8,21.8,1.5,0.7,16.7,1.8,0.1
Virginia,26.0,11.3,0.3,3.9,7.7,16.3,23.0,19,3.2,1.2,23.3,1.5
Washington,8.5,0.9,1,1.9,0.4,0.4,55.9,9.4,7.6,7.6,7.1,0.6
West Virginia,15.0,8,2,3.4,20.8,4.9,13.8,7.5,0.9,2.9,13.6,7.9
Wisconsin,14.1,3.7,1.2,1.5,3.6,3.7,32.8,16.2,17.8,26.6,29.1,0.9
Wyoming,0.9,0.4,0.1,0,2.1,1,11.0,0.1,2.4,2.3,2.9,4.2
