,State,Winter_2015,Spring_2015,Summer_2015,Fall_2015,Total_2015,Winter_2016,Spring_2016,Summer_2016,Fall_2016,Total_2016,Winter_2017,Spring_2017,Summer_2017,Fall_2017,Total_2017,Winter_2018,Spring_2018,2018_total
0,Alabama,1800,860,1400,610,4670,1700,930,1200,610,4440,1600,440,900,990,3930,820,810,1630
1,Arizona,4600,5500,6000,12000,28100,4700,3700,6000,6500,20900,6000,2600,4100,6500,19200,6000,2600,8600
2,Arkansas,1500,1900,9000,2400,14800,5000,3400,1500,2500,12400,3500,1900,6000,7500,18900,7500,1500,9000
3,California,255000,104000,76000,149000,584000,200000,108000,82000,205000,595000,195000,90000,67000,155000,507000,220000,70000,290000
4,Colorado,1500,1900,4500,2500,10400,750,1800,6500,4500,13550,1100,4500,4300,7000,16900,4900,2300,7200
5,Connecticut,870,80,50,210,1210,270,100,270,240,880,380,140,130,330,980,140,120,260
6,Florida,42000,35000,36000,37000,150000,40000,29000,25000,41000,135000,30000,35000,39000,50000,154000,35000,48000,83000
7,Georgia,14500,23000,13000,18000,68500,15500,11000,13000,11000,50500,14000,12500,15500,21000,63000,25000,16000,41000
8,Hawaii,380,120,2700,690,3890,280,830,600,970,2680,190,70,1100,130,1490,1600,280,1880
9,Idaho,3700,6500,14000,22000,46200,8500,6000,13000,15500,43000,8500,10500,12000,9000,40000,22000,4800,26800
10,Illinois,4200,1300,1400,690,7590,1400,740,1300,720,4160,2900,1200,1100,1800,7000,2400,2100,4500
11,Indiana,2100,1300,1600,1100,6100,770,220,600,1200,2790,1900,1200,930,1700,5730,1000,1800,2800
12,Iowa,3100,1400,3000,4300,11800,2900,2400,5500,4700,15500,3000,2400,2200,6500,14100,1300,4300,5600
13,Kansas,1600,670,1000,3400,6670,1100,960,2600,1300,5960,1000,390,1700,830,3920,950,170,1120
14,Kentucky,4100,980,1300,1100,7480,1300,450,1000,950,3700,1300,900,1600,870,4670,1600,450,2050
15,Louisiana,8000,1800,2000,4900,16700,11000,4300,7000,2000,24300,2700,2600,13500,2700,21500,3600,970,4570
16,Maine,380,3200,450,60,4090,170,4200,420,280,5070,1000,910,400,60,2370,240,1100,1340
17,Maryland,4100,370,680,730,5880,820,320,200,500,1840,2100,190,1600,1300,5190,1500,370,1870
18,Massachusetts,1000,320,560,260,2140,370,300,530,740,1940,1500,140,760,1100,3500,1000,260,1260
19,Michigan,11500,9500,7000,9000,37000,5000,7500,15000,12500,40000,5000,7500,17500,11500,41500,8000,6000,14000
20,Minnesota,3700,12500,32000,10000,58200,5500,13000,26000,13500,58000,3500,12000,20000,7000,42500,3900,6500,10400
21,Mississippi,8500,11000,3500,1500,24500,7500,3700,3300,2400,16900,2600,3800,2900,3400,12700,2000,5000,7000
22,Missouri,2000,500,1200,690,4390,1300,770,650,590,3310,1200,270,580,820,2870,1400,390,1790
23,Montana,2200,4200,10500,10000,26900,900,7000,11500,16000,35400,470,3700,18500,13000,35670,140,4800,4940
24,Nebraska,2600,4100,6000,7000,19700,720,6000,8500,4300,19520,750,1500,3700,7500,13450,430,2700,3130
25,New Jersey,1100,1800,210,270,3380,1000,1500,270,340,3110,490,430,420,1200,2540,730,270,1000
26,New Mexico,690,1000,1600,290,3580,1700,1400,1100,1600,5800,2100,1800,2500,1900,8300,3900,50,3950
27,New York,6500,1100,6500,4000,18100,4200,4000,10000,9000,27200,6000,1300,6500,3900,17700,3700,3300,7000
28,North Carolina,7000,1800,2900,2200,13900,2600,1600,1400,5500,11100,2500,3000,3300,5000,13800,4200,1200,5400
29,North Dakota,620,29000,93000,35000,157620,8500,27000,71000,44000,150500,640,16000,48000,26000,90640,3200,11000,14200
30,Ohio,10500,2100,1900,2400,16900,2900,1700,1600,2100,8300,4400,1100,1800,2800,10100,4000,1100,5100
31,Oklahoma,6000,2200,230,650,9080,3300,310,560,2700,6870,550,200,510,100,1360,3700,1600,5300
32,Oregon,6500,5500,8500,8500,29000,2900,4300,7500,9500,24200,8000,5000,13500,10000,36500,4100,3400,7500
33,Pennsylvania,6500,1600,1800,2500,12400,2900,1300,1300,3100,8600,4000,540,1500,5500,11540,1500,1100,2600
34,South Carolina,2700,950,2000,2200,7850,3500,1300,920,1300,7020,1600,870,1700,2000,6170,1800,1300,3100
35,South Dakota,4600,21000,53000,9000,87600,10500,11000,25000,11000,57500,2700,13000,16500,6500,38700,390,12000,12390
36,Tennessee,2000,730,1200,1100,5030,1700,580,950,840,4070,1600,1300,1700,1300,5900,3000,1200,4200
37,Texas,26000,33000,16500,25000,100500,30000,36000,12000,39000,117000,49000,28000,15000,20000,112000,22000,31000,53000
38,Utah,3300,3400,8000,1900,16600,1900,4800,3200,1600,11500,2700,2700,6500,2000,13900,620,1700,2320
39,Vermont,700,100,40,940,1780,410,20,400,260,1090,440,170,180,470,1260,570,520,1090
40,Virginia,2500,270,680,750,4200,1100,230,810,730,2870,1400,1000,1200,1100,4700,2100,490,2590
41,Washington,14000,5000,11500,6500,37000,13500,6000,5000,9000,33500,9000,7000,17000,4000,37000,4600,6500,11100
42,West Virginia,1800,570,300,610,3280,1700,990,190,1000,3880,800,370,930,1200,3300,2000,490,2490
43,Wisconsin,8000,4600,9000,6500,28100,3100,5500,12000,7500,28100,4400,4000,12500,8500,29400,4600,6000,10600
44,Wyoming,2000,3200,2500,1300,9000,340,2600,7000,2200,12140,3600,1300,5500,3500,13900,220,2200,2420
,Total USA,497940,350920,456200,410750,1715810,415200,328750,395370,501770,1641090,397110,285430,393740,424500,1500780,423350,269740,693090
