State,"Winter_2017
No_of_colonies","Winter_2017
Lost","Winter_2017
Per_lost","Winter_2017
Added","Winter_2017
Renovated","Winter_2017
Per_renovated","Spring_2017
No_of_colonies","Spring_2017
Lost","Spring_2017
Per_lost","Spring_2017
Added","Spring_2017
Renovated","Spring_2017
Per_renovated","Summer_2017
No_of_colonies","Summer_2017
Lost","Summer_2017
Per_lost","Summer_2017
Added","Summer_2017
Renovated","Summer_2017
Per_renovated","Fall_2017
No_of_colonies","Fall_2017
Lost","Fall_2017
Per_lost","Fall_2017
Added","Fall_2017
Renovated","Fall_2017
Per_renovated"
Alabama,7000,1600,23,570,740,11,6500,440,7,1200,500,8,7000,900,9,690,530,6,7500,990,13,550,500,7
Arizona,31000,6000,19,2900,0,0,22000,2600,12,12500,3000,14,26000,4100,16,5000,3200,12,27000,6500,22,1300,1100,4
Arkansas,18000,3500,18,430,230,1,17000,1900,8,6000,1300,5,29000,6000,21,4400,410,1,25000,7500,30,2500,440,2
California,1170000,195000,13,137000,93000,6,980000,90000,9,160000,220000,22,590000,67000,10,73000,74000,11,680000,155000,13,90000,104000,9
Colorado,9500,1100,5,100,0,0,16500,4500,15,8000,7500,24,35000,4300,10,2900,6410,15,34000,7000,21,1500,4000,12
Connecticut,3100,380,12,100,110,4,3000,140,5,2200,350,12,3500,130,4,50,20,1,4000,330,8,190,110,3
Florida,260000,30000,11,78000,34000,13,245000,35000,14,40000,50000,20,176000,39000,22,39000,42000,23,180000,50000,21,55000,36000,15
Georgia,123000,14000,11,25000,21000,17,130000,12500,9,21000,31000,23,121000,15500,13,19000,23000,19,125000,21000,14,4300,2200,2
Hawaii,13000,190,1,510,50,0,12000,70,1,3000,920,8,15000,1100,7,430,20,(Z),15000,130,1,970,290,2
Idaho,95000,8500,9,2000,280,0,61000,10500,13,22000,31000,40,89000,12000,10,9000,16500,14,113000,9000,5,10000,5000,3
Illinois,11000,2900,26,3100,150,1,11500,1200,10,3600,1600,13,13000,1100,8,710,1200,9,13500,1800,13,140,460,3
Indiana,7000,1900,25,1700,70,1,7500,1200,11,3000,510,5,13000,930,7,420,740,6,11500,1700,15,320,100,1
Iowa,10000,3000,19,70,0,0,12000,2400,10,23000,3900,17,40000,2200,5,2100,4000,9,45000,6500,14,250,3400,8
Kansas,3800,1000,26,930,380,10,3800,390,7,2500,870,15,7000,1700,24,1400,1000,14,6500,830,13,140,40,1
Kentucky,6500,1300,19,950,430,6,7000,900,12,3100,590,8,9000,1600,18,450,700,8,7500,870,12,50,120,2
Louisiana,44000,2700,6,11000,1900,4,56000,2600,4,4100,8000,13,64000,13500,21,14500,34000,53,58000,2700,5,390,1900,3
Maine,2700,1000,32,100,0,0,2200,910,3,1100,1400,4,5500,400,7,210,290,5,5500,60,1,220,110,2
Maryland,9000,2100,23,770,260,3,8000,190,2,3400,930,10,8500,1600,19,1300,600,7,8000,1300,12,20,410,4
Massachusetts,3300,1500,45,120,110,3,2500,140,2,1400,490,6,9000,760,8,790,460,5,6000,1100,18,120,550,9
Michigan,29000,5000,8,600,130,0,55000,7500,8,20000,13500,14,103000,17500,16,4300,11500,11,88000,11500,13,990,1900,2
Minnesota,27000,3500,9,3300,0,0,32000,12000,9,19000,8500,7,136000,20000,15,1900,2200,2,98000,7000,7,1900,450,0
Mississippi,31000,2600,4,23000,7000,10,89000,3800,4,5500,26000,29,24000,2900,12,250,230,1,14000,3400,15,280,830,4
Missouri,7000,1200,16,400,10,0,6500,270,4,1800,1000,14,9000,580,6,320,310,3,9500,820,9,100,230,2
Montana,18500,470,1,3100,6000,13,47000,3700,3,18000,18000,13,154000,18500,11,3100,23000,14,115000,13000,11,5500,2900,2
Nebraska,7500,750,6,120,0,0,7500,1500,3,7000,27000,63,46000,3700,8,880,13500,29,42000,7500,18,80,50,0
New Jersey,6000,490,8,10,0,0,5500,430,2,1900,660,3,16000,420,3,280,110,1,15500,1200,8,330,270,2
New Mexico,5500,2100,38,3600,0,0,7000,1800,24,3300,3900,52,8500,2500,29,1800,200,2,8000,1900,24,1700,0,0
New York,32000,6000,18,520,0,0,25000,1300,3,16500,7500,17,59000,6500,11,3100,9000,15,51000,3900,8,820,460,1
North Carolina,16000,2500,11,3700,1200,5,24000,3000,12,5000,2700,11,26000,3300,12,4100,2900,11,23000,5000,22,60,290,1
North Dakota,50000,640,1,1100,10,0,115000,16000,4,31000,41000,9,470000,48000,10,24000,100000,20,410000,26000,6,10000,2900,1
Ohio,15500,4400,25,1300,530,3,13500,1100,7,7000,2500,17,23000,1800,8,1100,1800,8,18500,2800,15,510,960,5
Oklahoma,26000,550,2,9500,1700,7,17000,200,1,4700,1200,7,4400,510,12,80,270,6,3700,100,0,40,0,0
Oregon,71000,8000,9,7500,1400,2,71000,5000,5,15500,22000,24,94000,13500,13,7500,28000,28,94000,10000,11,70,18500,20
Pennsylvania,17000,4000,22,810,390,2,15500,540,3,7500,2300,13,18500,1500,8,6000,1600,9,24000,5500,23,2500,1100,5
South Carolina,17000,1600,9,4700,970,6,20000,870,4,3000,3700,19,14500,1700,12,640,440,3,12500,2000,13,1300,750,5
South Dakota,21000,2700,6,1500,440,1,30000,13000,8,10000,23000,14,152000,16500,10,6000,7500,5,111000,6500,6,0,0,0
Tennessee,8500,1600,19,1500,160,2,8500,1300,14,2600,1500,17,10000,1700,17,800,960,10,8500,1300,12,230,320,3
Texas,275000,49000,14,130000,68000,20,345000,28000,8,43000,148000,42,104000,15000,13,21000,7500,7,127000,20000,7,3200,1900,1
Utah,16000,2700,14,3900,60,0,21000,2700,9,12500,10000,32,35000,6500,19,5500,3200,9,29000,2000,7,480,70,0
Vermont,6500,440,7,0,0,0,6000,170,2,390,190,2,7500,180,2,520,270,4,6500,470,7,10,10,0
Virginia,8000,1400,18,1900,280,4,8500,1000,11,3100,1100,12,11500,1200,10,430,430,4,9500,1100,12,300,210,2
Washington,68000,9000,9,8500,0,0,75000,7000,6,30000,20000,18,82000,17000,18,5500,10500,11,66000,4000,6,2900,14000,19
West Virginia,5500,800,10,450,100,1,7500,370,5,4100,2500,33,9000,930,10,440,1900,21,8500,1200,14,70,1600,19
Wisconsin,17000,4400,20,450,70,0,18000,4000,6,13000,6500,10,74000,12500,17,6000,9000,12,51000,8500,15,530,3000,5
Wyoming,6500,3600,21,1300,0,0,15000,1300,4,6000,3500,12,35000,5500,15,3100,3500,10,28000,3500,12,2500,320,1
