State,"Winter_2018
No_of_colonies","Winter_2018
Lost","Winter_2018
Per_lost","Winter_2018
Added","Winter_2018
Renovated","Winter_2018
Per_renovated","Spring_2017
No_of_colonies","Spring_2017
Lost","Spring_2017
Per_lost","Spring_2017
Added","Spring_2017
Renovated","Spring_2017
Per_renovated"
Alabama,7500,820,11,1200,1500,20,6500,440,7,1200,500,8
Arizona,25000,6000,23,810,230,1,22000,2600,12,12500,3000,14
Arkansas,22000,7500,34,540,810,4,17000,1900,8,6000,1300,5
California,1150000,220000,14,200000,132500,9,980000,90000,9,160000,220000,22
Colorado,13000,4900,23,1400,190,1,16500,4500,15,8000,7500,24
Connecticut,2900,140,5,220,330,11,3000,140,5,2200,350,12
Florida,245000,35000,14,57000,38000,15,245000,35000,14,40000,50000,20
Georgia,134000,25000,18,29000,39000,28,130000,12500,9,21000,31000,23
Hawaii,15000,1600,11,1200,5100,34,12000,70,1,3000,920,8
Idaho,164000,22000,13,2500,2600,2,61000,10500,13,22000,31000,40
Illinois,10500,2400,23,1000,630,6,11500,1200,10,3600,1600,13
Indiana,7000,1000,13,300,30,0,7500,1200,11,3000,510,5
Iowa,41000,1300,3,420,110,0,12000,2400,10,23000,3900,17
Kansas,3700,950,26,500,410,11,3800,390,7,2500,870,15
Kentucky,5500,1600,29,520,20,0,7000,900,12,3100,590,8
Louisiana,50000,3600,7,4100,320,1,56000,2600,4,4100,8000,13
Maine,1900,240,13,40,30,2,2200,910,3,1100,1400,4
Maryland,8000,1500,19,0,190,2,8000,190,2,3400,930,10
Massachusetts,3800,1000,26,240,290,8,2500,140,2,1400,490,6
Michigan,16500,8000,24,10500,3900,11,55000,7500,8,20000,13500,14
Minnesota,39000,3900,6,13500,2900,5,32000,12000,9,19000,8500,7
Mississippi,19000,2000,6,28000,5500,17,89000,3800,4,5500,26000,29
Missouri,8000,1400,18,1400,50,1,6500,270,4,1800,1000,14
Montana,35000,140,0,840,0,0,47000,3700,3,18000,18000,13
Nebraska,6500,430,3,0,0,0,7500,1500,3,7000,27000,63
New Jersey,6500,730,11,180,190,3,5500,430,2,1900,660,3
New Mexico,7500,3900,52,180,0,0,7000,1800,24,3300,3900,52
New York,26000,3700,14,400,170,1,25000,1300,3,16500,7500,17
North Carolina,18500,4200,23,2400,260,1,24000,3000,12,5000,2700,11
North Dakota,64000,3200,3,2600,10,0,115000,16000,4,31000,41000,9
Ohio,12000,4000,29,300,580,4,13500,1100,7,7000,2500,17
Oklahoma,17000,3700,21,890,240,1,17000,200,1,4700,1200,7
Oregon,81000,4100,5,17000,3900,4,71000,5000,5,15500,22000,24
Pennsylvania,14500,1500,10,1600,670,5,15500,540,3,7500,2300,13
South Carolina,13500,1800,12,1900,2800,19,20000,870,4,3000,3700,19
South Dakota,23000,390,1,250,90,0,30000,13000,8,10000,23000,14
Tennessee,10000,3000,30,600,470,5,8500,1300,14,2600,1500,17
Texas,205000,22000,8,118000,42000,14,345000,28000,8,43000,148000,42
Utah,7500,620,4,490,50,0,21000,2700,9,12500,10000,32
Vermont,5500,570,10,20,0,0,6000,170,2,390,190,2
Virginia,7000,2100,30,540,160,2,8500,1000,11,3100,1100,12
Washington,44000,4600,5,7000,860,1,75000,7000,6,30000,20000,18
West Virginia,4700,2000,24,330,60,1,7500,370,5,4100,2500,33
Wisconsin,21000,4600,16,2800,1560,5,18000,4000,6,13000,6500,10
Wyoming,5500,220,3,70,0,0,15000,1300,4,6000,3500,12
