,State,Jan_March_No_of_colonies,Jan_March_Max,Jan_March_Lost,Jan_March_Per_lost,Jan_March_Added,Jan_March_Renovated,Jan_March_Per_renovated,Jan_March_Mites,Jan_March_Parasites,Jan_March_Diseases,Jan_March_Pesticides,Jan_March_Other,Jan_March_Unknown,April_June_No_of_colonies,Max ,April_June_Lost,April_June_Per_lost,April_June_Added,April_June_Renovated,April_June_Per_renovated,April_June_Mites,April_June_Parasites,April_June_Diseases,April_June_Pesticides,April_June_Other,April_June_Unknown,July_Sep_No_of_colonies,July_Sep_Max,July_Sep_Lost,July_Sep_Per_lost,July_Sep_Added,July_Sep_Renovated,July_Sep_Per_renovated,July_Sep_Mites,July_Sep_Parasites,July_Sep_Diseases,July_Sep_Pesticides,July_Sep_Other,July_Sep_Unknown,Oct_Dec_No_of_colonies,Oct_Dec_Max,Oct_Dec_Lost,Oct_Dec_Per_lost,Oct_Dec_Added,Oct_Dec_Renovated,Oct_Dec_Per_renovated,Oct_Dec_Mites,Oct_Dec_Parasites,Oct_Dec_Diseases,Oct_Dec_Pesticides,Oct_Dec_Other,Oct_Dec_Unknown
0,Alabama,7500,7500,1700,23,2100,90,1,24.2,22,4.3,8.1,2.4,11.3,8000,8000,930,12,1200,690,9,9.6,8.2,0.3,1.7,4.8,5.4,8000,8000,1200,15,440,50,1,11.7,42.0,(Z),3.8,3.2,13.8,7000,7000,610,9,50,10,0,12.3,9.9,0.2,2.4,6.7,3.3
1,Arizona,30000,30000,4700,16,3500,150,1,33.8,2.8,-,7.7,6.5,7.2,22000,23000,3700,16,14000,1600,7,26.8,47.5,17.2,12,17.4,3.5,30000,32000,6000,19,3200,2600,8,41.7,1.0,0.9,13.5,13.4,8.9,29000,31000,6500,21,4600,3100,10,98.8,15.5,2.3,6.5,4.3,3.2
2,Arkansas,27000,27000,5000,19,5000,1100,4,57.4,6.9,(Z),0.5,1.9,8.1,24000,24000,3400,14,12000,1600,7,84.9,8.5,5.5,0.1,3.4,1.6,32000,32000,1500,5,270,60,(Z),80.7,9.0,0.4,7.9,2.7,0.3,28000,28000,2500,9,20,10,0,21.1,4.8,0,1.3,1.1,3.3
3,California,1130000,1410000,200000,14,210000,139000,10,38.1,15.2,9,13.5,8.4,4.4,1110000,1150000,108000,9,240000,185000,16,49.7,14.1,11.2,14.2,15.3,2.6,740000,820000,82000,10,33000,78000,10,42.2,17.8,8.5,18.8,10.4,6.9,770000,1330000,205000,15,40000,35000,3,41.9,13.7,8,9.1,9.6,3.5
4,Colorado,5000,8500,750,9,1700,10,0,2.9,4.1,0.5,0.2,2.7,0.2,9500,29000,1800,6,9000,680,2,38.7,0.8,3.3,1.4,2.6,0.3,33000,37000,6500,18,1100,740,2,49.3,22.4,16.8,24.6,10.6,0.1,30000,30000,4500,15,2500,0,0,32.4,1.3,0.1,3.1,13.0,0.1
5,Connecticut,2700,2700,270,10,70,10,0,12.3,0.8,0.2,-,7.7,1.7,2500,2500,100,4,390,60,2,9.3,0.6,0.5,0.3,4.4,1.2,3100,3100,270,9,890,180,6,18.8,1.6,-,0.2,5,0.8,3100,3100,240,8,0,0,0,14.7,6.6,1.1,1,5.8,3.2
6,Florida,275000,295000,40000,14,49000,15500,5,23.6,5.8,0.4,4.9,1.8,1.4,240000,240000,29000,12,43000,21000,9,48.2,23.3,10,11.6,10.1,2,200000,220000,25000,11,62000,14500,7,45.1,23.4,2.7,9.9,8.5,1.8,255000,300000,41000,14,31000,11500,4,30.9,27.1,7.7,17,13.6,6.5
7,Georgia,100000,100000,15500,16,36000,3200,3,32.3,7.8,2.1,21.4,3.2,3.9,108000,111000,11000,10,17500,3600,3,59.3,28.4,2,28.4,11.7,2.7,102000,103000,13000,13,12500,2300,2,30.7,16.4,2.4,12.1,7.6,4.5,96000,112000,11000,10,12000,450,0,43.6,8.6,3.7,7.6,4.1,2.5
8,Hawaii,15000,15000,280,2,570,530,4,0.3,1.5,-,0.1,0.8,(Z),13500,13500,830,6,870,-,-,35.6,38.1,0,0.6,3.2,0,13500,13500,600,4,430,820,6,67.8,75.3,0.1,0.8,-,-,13500,13500,970,7,60,840,6,39.9,40.8,0,0.1,0.2,0.1
9,Idaho,91000,98000,8500,9,5500,3300,3,31.5,2.3,2.1,5.9,5.4,1.4,60000,80000,6000,8,19000,5500,7,21.2,4.8,2.7,3.1,5.4,2.7,79000,131000,13000,10,1900,2800,2,25.3,4.7,4.5,7.6,6,3.3,121000,143000,15500,11,5000,420,0,31.9,0.8,4.8,0.2,4.2,3
